title,authors,summary,published,link,keyword_used
"Construction of unbiased dental template and parametric dental model for
  precision digital dentistry","Lei Ma, Jingyang Zhang, Ke Deng, Peng Xue, Zhiming Cui, Yu Fang, Minhui Tang, Yue Zhao, Min Zhu, Zhongxiang Ding, Dinggang Shen","Dental template and parametric dental models are important tools for various
applications in digital dentistry. However, constructing an unbiased dental
template and accurate parametric dental models remains a challenging task due
to the complex anatomical and morphological dental structures and also low
volume ratio of the teeth. In this study, we develop an unbiased dental
template by constructing an accurate dental atlas from CBCT images with
guidance of teeth segmentation. First, to address the challenges, we propose to
enhance the CBCT images and their segmentation images, including image
cropping, image masking and segmentation intensity reassigning. Then, we
further use the segmentation images to perform co-registration with the CBCT
images to generate an accurate dental atlas, from which an unbiased dental
template can be generated. By leveraging the unbiased dental template, we
construct parametric dental models by estimating point-to-point correspondences
between the dental models and employing Principal Component Analysis to
determine shape subspaces of the parametric dental models. A total of 159 CBCT
images of real subjects are collected to perform the constructions.
Experimental results demonstrate effectiveness of our proposed method in
constructing unbiased dental template and parametric dental model. The
developed dental template and parametric dental models are available at
https://github.com/Marvin0724/Teeth_template.",2023-04-07T09:39:03Z,http://arxiv.org/abs/2304.03556v1,dental
ToMoBrush: Exploring Dental Health Sensing using a Sonic Toothbrush,"Kuang Yuan, Mohamed Ibrahim, Yiwen Song, Guoxiang Deng, Suvendra Vijayan, Robert Nerone, Akshay Gadre, Swarun Kumar","Early detection of dental disease is crucial to prevent adverse outcomes.
Today, dental X-rays are currently the most accurate gold standard for dental
disease detection. Unfortunately, regular X-ray exam is still a privilege for
billions of people around the world. In this paper, we ask: ""Can we develop a
low-cost sensing system that enables dental self-examination in the comfort of
one's home?""
  This paper presents ToMoBrush, a dental health sensing system that explores
using off-the-shelf sonic toothbrushes for dental condition detection. Our
solution leverages the fact that a sonic toothbrush produces rich acoustic
signals when in contact with teeth, which contain important information about
each tooth's status. ToMoBrush extracts tooth resonance signatures from the
acoustic signals to characterize varied dental health conditions of the teeth.
We evaluate ToMoBrush on 19 participants and dental-standard models for
detecting common dental problems including caries, calculus, and food
impaction, achieving a detection ROC-AUC of 0.90, 0.83, and 0.88 respectively.
Interviews with dental experts validate ToMoBrush's potential in enhancing
at-home dental healthcare.",2024-02-02T22:05:57Z,http://arxiv.org/abs/2402.01933v1,dental
A review of dental informatics : current trends and future directions,"Prabath Jayatissa, Roshan Hewapathirane","Dental informatics is a rapidly evolving field that combines dentistry with
information technology to improve oral health care delivery, research, and
education. Electronic health records (EHRs), telehealth, digital imaging, and
other digital tools have revolutionised how dental professionals diagnose,
treat, and manage oral health conditions. In this review article, we will
explore dental informatics's current trends and future directions, focusing on
its impact on clinical practice, research, and education. We will also discuss
the challenges and opportunities associated with implementing dental
informatics and highlight fundamental research studies and innovations in the
field.",2023-06-29T11:27:38Z,http://arxiv.org/abs/2307.03686v1,dental
"Self-Supervised Learning with Masked Image Modeling for Teeth Numbering,
  Detection of Dental Restorations, and Instance Segmentation in Dental
  Panoramic Radiographs","Amani Almalki, Longin Jan Latecki","The computer-assisted radiologic informative report is currently emerging in
dental practice to facilitate dental care and reduce time consumption in manual
panoramic radiographic interpretation. However, the amount of dental
radiographs for training is very limited, particularly from the point of view
of deep learning. This study aims to utilize recent self-supervised learning
methods like SimMIM and UM-MAE to increase the model efficiency and
understanding of the limited number of dental radiographs. We use the Swin
Transformer for teeth numbering, detection of dental restorations, and instance
segmentation tasks. To the best of our knowledge, this is the first study that
applied self-supervised learning methods to Swin Transformer on dental
panoramic radiographs. Our results show that the SimMIM method obtained the
highest performance of 90.4% and 88.9% on detecting teeth and dental
restorations and instance segmentation, respectively, increasing the average
precision by 13.4 and 12.8 over the random initialization baseline. Moreover,
we augment and correct the existing dataset of panoramic radiographs. The code
and the dataset are available at https://github.com/AmaniHAlmalki/DentalMIM.",2022-10-20T16:50:07Z,http://arxiv.org/abs/2210.11404v1,dental
"Semantic decomposition Network with Contrastive and Structural
  Constraints for Dental Plaque Segmentation","Jian Shi, Baoli Sun, Xinchen Ye, Zhihui Wang, Xiaolong Luo, Jin Liu, Heli Gao, Haojie Li","Segmenting dental plaque from images of medical reagent staining provides
valuable information for diagnosis and the determination of follow-up treatment
plan. However, accurate dental plaque segmentation is a challenging task that
requires identifying teeth and dental plaque subjected to semantic-blur regions
(i.e., confused boundaries in border regions between teeth and dental plaque)
and complex variations of instance shapes, which are not fully addressed by
existing methods. Therefore, we propose a semantic decomposition network
(SDNet) that introduces two single-task branches to separately address the
segmentation of teeth and dental plaque and designs additional constraints to
learn category-specific features for each branch, thus facilitating the
semantic decomposition and improving the performance of dental plaque
segmentation. Specifically, SDNet learns two separate segmentation branches for
teeth and dental plaque in a divide-and-conquer manner to decouple the
entangled relation between them. Each branch that specifies a category tends to
yield accurate segmentation. To help these two branches better focus on
category-specific features, two constraint modules are further proposed: 1)
contrastive constraint module (CCM) to learn discriminative feature
representations by maximizing the distance between different category
representations, so as to reduce the negative impact of semantic-blur regions
on feature extraction; 2) structural constraint module (SCM) to provide
complete structural information for dental plaque of various shapes by the
supervision of an boundary-aware geometric constraint. Besides, we construct a
large-scale open-source Stained Dental Plaque Segmentation dataset (SDPSeg),
which provides high-quality annotations for teeth and dental plaque.
Experimental results on SDPSeg datasets show SDNet achieves state-of-the-art
performance.",2022-08-12T14:10:29Z,http://arxiv.org/abs/2208.06283v1,dental
"Generative Adversarial Networks for Dental Patient Identity Protection
  in Orthodontic Educational Imaging","Mingchuan Tian, Wilson Weixun Lu, Kelvin Weng Chiong Foong, Eugene Loh","Objectives: This research introduces a novel area-preserving Generative
Adversarial Networks (GAN) inversion technique for effectively de-identifying
dental patient images. This innovative method addresses privacy concerns while
preserving key dental features, thereby generating valuable resources for
dental education and research.
  Methods: We enhanced the existing GAN Inversion methodology to maximize the
preservation of dental characteristics within the synthesized images. A
comprehensive technical framework incorporating several deep learning models
was developed to provide end-to-end development guidance and practical
application for image de-identification.
  Results: Our approach was assessed with varied facial pictures, extensively
used for diagnosing skeletal asymmetry and facial anomalies. Results
demonstrated our model's ability to adapt the context from one image to
another, maintaining compatibility, while preserving dental features essential
for oral diagnosis and dental education. A panel of five clinicians conducted
an evaluation on a set of original and GAN-processed images. The generated
images achieved effective de-identification, maintaining the realism of
important dental features and were deemed useful for dental diagnostics and
education.
  Clinical Significance: Our GAN model and the encompassing framework can
streamline the de-identification process of dental patient images, enhancing
efficiency in dental education. This method improves students' diagnostic
capabilities by offering more exposure to orthodontic malocclusions.
Furthermore, it facilitates the creation of de-identified datasets for broader
2D image research at major research institutions.",2023-07-05T04:14:57Z,http://arxiv.org/abs/2307.02019v1,dental
DArch: Dental Arch Prior-assisted 3D Tooth Instance Segmentation,"Liangdong Qiu, Chongjie Ye, Pei Chen, Yunbi Liu, Xiaoguang Han, Shuguang Cui","Automatic tooth instance segmentation on 3D dental models is a fundamental
task for computer-aided orthodontic treatments. Existing learning-based methods
rely heavily on expensive point-wise annotations. To alleviate this problem, we
are the first to explore a low-cost annotation way for 3D tooth instance
segmentation, i.e., labeling all tooth centroids and only a few teeth for each
dental model. Regarding the challenge when only weak annotation is provided, we
present a dental arch prior-assisted 3D tooth segmentation method, namely
DArch. Our DArch consists of two stages, including tooth centroid detection and
tooth instance segmentation. Accurately detecting the tooth centroids can help
locate the individual tooth, thus benefiting the segmentation. Thus, our DArch
proposes to leverage the dental arch prior to assist the detection.
Specifically, we firstly propose a coarse-to-fine method to estimate the dental
arch, in which the dental arch is initially generated by Bezier curve
regression, and then a graph-based convolutional network (GCN) is trained to
refine it. With the estimated dental arch, we then propose a novel Arch-aware
Point Sampling (APS) method to assist the tooth centroid proposal generation.
Meantime, a segmentor is independently trained using a patch-based training
strategy, aiming to segment a tooth instance from a 3D patch centered at the
tooth centroid. Experimental results on $4,773$ dental models have shown our
DArch can accurately segment each tooth of a dental model, and its performance
is superior to the state-of-the-art methods.",2022-04-25T18:30:01Z,http://arxiv.org/abs/2204.11911v1,dental
"Design of quantum correlation based automatic focus detection system
  during dental laser operation","Binh Xuan Cao, Duc An Pham","Dental laser has been developed recently and gradually replaced the
conventional dental treatment methods, especially in dental caries removal. The
utility of laser in dentistry contributes to reduce the pain during surgery and
decrease the risk of sequelae after surgery. Although bringing about several
beneficial properties such as excellent directionality, high speed, ultra-tiny
active area and tunable energy concentration, laser is still quite limited in
dental surgery because of the difficulty in real-time high precision detection
of laser focus during the operation. In this study, a cutting-edge optical
system for real-time focus detection during dental laser operation employing
the quantum entanglement of photon pairs created via spontaneous parametric
downconversion (SPDC) is presented. Defocusing distance of the specimen which
is used as the sample tooth can be determined precisely through spatial
correlation of photons arriving at the detectors. The proposed technique can be
applied to design automatic focus detection system for use in dental laser
operation.",2019-07-25T08:15:22Z,http://arxiv.org/abs/1908.07610v5,dental
"Enhanced Masked Image Modeling for Analysis of Dental Panoramic
  Radiographs","Amani Almalki, Longin Jan Latecki","The computer-assisted radiologic informative report has received increasing
research attention to facilitate diagnosis and treatment planning for dental
care providers. However, manual interpretation of dental images is limited,
expensive, and time-consuming. Another barrier in dental imaging is the limited
number of available images for training, which is a challenge in the era of
deep learning. This study proposes a novel self-distillation (SD) enhanced
self-supervised learning on top of the masked image modeling (SimMIM)
Transformer, called SD-SimMIM, to improve the outcome with a limited number of
dental radiographs. In addition to the prediction loss on masked patches,
SD-SimMIM computes the self-distillation loss on the visible patches. We apply
SD-SimMIM on dental panoramic X-rays for teeth numbering, detection of dental
restorations and orthodontic appliances, and instance segmentation tasks. Our
results show that SD-SimMIM outperforms other self-supervised learning methods.
Furthermore, we augment and improve the annotation of an existing dataset of
panoramic X-rays.",2023-06-18T19:20:38Z,http://arxiv.org/abs/2306.10623v1,dental
Haptic bilateral teleoperation system for free-hand dental procedures,"Lorenzo Pagliara, Enrico Ferrentino, Andrea Chiacchio, Giovanni Russo","Free-hand dental procedures are typically repetitive, time-consuming and
require high precision and manual dexterity. Dental robots can play a key role
in improving procedural accuracy and safety, enhancing patient comfort, and
reducing operator workload. However, robotic solutions for free-hand procedures
remain limited or completely lacking, and their acceptance is still low. To
address this gap, we develop a haptic bilateral teleoperation system (HBTS) for
free-hand dental procedures. The system includes a dedicated mechanical
end-effector, compatible with standard clinical tools, and equipped with an
endoscopic camera for improved visibility of the intervention site. By ensuring
motion and force correspondence between the operator's actions and the robot's
movements, monitored through visual feedback, we enhance the operator's sensory
awareness and motor accuracy. Furthermore, recognizing the need to ensure
procedural safety, we limit interaction forces by scaling the motion references
provided to the admittance controller based solely on measured contact forces.
This ensures effective force limitation in all contact states without requiring
prior knowledge of the environment. The proposed HBTS is validated in a dental
scaling procedure using a dental phantom. The results show that the system
improves the naturalness, safety, and accuracy of teleoperation, highlighting
its potential to enhance free-hand dental procedures.",2025-03-27T09:11:34Z,http://arxiv.org/abs/2503.21288v1,dental
