title,authors,summary,published,link,keyword_used
"PaXNet: Dental Caries Detection in Panoramic X-ray using Ensemble
  Transfer Learning and Capsule Classifier","Arman Haghanifar, Mahdiyar Molahasani Majdabadi, Seok-Bum Ko","Dental caries is one of the most chronic diseases involving the majority of
the population during their lifetime. Caries lesions are typically diagnosed by
radiologists relying only on their visual inspection to detect via dental
x-rays. In many cases, dental caries is hard to identify using x-rays and can
be misinterpreted as shadows due to different reasons such as low image
quality. Hence, developing a decision support system for caries detection has
been a topic of interest in recent years. Here, we propose an automatic
diagnosis system to detect dental caries in Panoramic images for the first
time, to the best of authors' knowledge. The proposed model benefits from
various pretrained deep learning models through transfer learning to extract
relevant features from x-rays and uses a capsule network to draw prediction
results. On a dataset of 470 Panoramic images used for features extraction,
including 240 labeled images for classification, our model achieved an accuracy
score of 86.05\% on the test set. The obtained score demonstrates acceptable
detection performance and an increase in caries detection speed, as long as the
challenges of using Panoramic x-rays of real patients are taken into account.
Among images with caries lesions in the test set, our model acquired recall
scores of 69.44\% and 90.52\% for mild and severe ones, confirming the fact
that severe caries spots are more straightforward to detect and efficient mild
caries detection needs a more robust and larger dataset. Considering the
novelty of current research study as using Panoramic images, this work is a
step towards developing a fully automated efficient decision support system to
assist domain experts.",2020-12-26T03:00:35Z,http://arxiv.org/abs/2012.13666v1,dental caries
ToMoBrush: Exploring Dental Health Sensing using a Sonic Toothbrush,"Kuang Yuan, Mohamed Ibrahim, Yiwen Song, Guoxiang Deng, Suvendra Vijayan, Robert Nerone, Akshay Gadre, Swarun Kumar","Early detection of dental disease is crucial to prevent adverse outcomes.
Today, dental X-rays are currently the most accurate gold standard for dental
disease detection. Unfortunately, regular X-ray exam is still a privilege for
billions of people around the world. In this paper, we ask: ""Can we develop a
low-cost sensing system that enables dental self-examination in the comfort of
one's home?""
  This paper presents ToMoBrush, a dental health sensing system that explores
using off-the-shelf sonic toothbrushes for dental condition detection. Our
solution leverages the fact that a sonic toothbrush produces rich acoustic
signals when in contact with teeth, which contain important information about
each tooth's status. ToMoBrush extracts tooth resonance signatures from the
acoustic signals to characterize varied dental health conditions of the teeth.
We evaluate ToMoBrush on 19 participants and dental-standard models for
detecting common dental problems including caries, calculus, and food
impaction, achieving a detection ROC-AUC of 0.90, 0.83, and 0.88 respectively.
Interviews with dental experts validate ToMoBrush's potential in enhancing
at-home dental healthcare.",2024-02-02T22:05:57Z,http://arxiv.org/abs/2402.01933v1,dental caries
Detection of Tooth caries in Bitewing Radiographs using Deep Learning,"Muktabh Mayank Srivastava, Pratyush Kumar, Lalit Pradhan, Srikrishna Varadarajan","We develop a Computer Aided Diagnosis (CAD) system, which enhances the
performance of dentists in detecting wide range of dental caries. The CAD
System achieves this by acting as a second opinion for the dentists with way
higher sensitivity on the task of detecting cavities than the dentists
themselves. We develop annotated dataset of more than 3000 bitewing radiographs
and utilize it for developing a system for automated diagnosis of dental
caries. Our system consists of a deep fully convolutional neural network (FCNN)
consisting 100+ layers, which is trained to mark caries on bitewing
radiographs. We have compared the performance of our proposed system with three
certified dentists for marking dental caries. We exceed the average performance
of the dentists in both recall (sensitivity) and F1-Score (agreement with
truth) by a very large margin. Working example of our system is shown in Figure
1.",2017-11-20T14:12:32Z,http://arxiv.org/abs/1711.07312v2,dental caries
A mathematical model for the progression of dental caries,"Rene Fabregas, Jacob Rubinstein","A model for the progression of dental caries is derived. The analysis starts
at the microscopic reaction and diffusion process. The local equations are
averaged to derive a set of macroscopic equations. The global system includes
features such as anisotropic diffusion and local changes in the geometry due to
the enamel melting. The equations are then solved numerically. The simulations
highlight the effect of anisotropy. In addition we draw conclusions on the
progression rate of caries, and discuss them in light of a number of
experiments.",2025-01-13T16:12:07Z,http://arxiv.org/abs/2501.07619v1,dental caries
"A Sequential Framework for Detection and Classification of Abnormal
  Teeth in Panoramic X-rays","Tudor Dascalu, Shaqayeq Ramezanzade, Azam Bakhshandeh, Lars Bjorndal, Bulat Ibragimov","This paper describes our solution for the Dental Enumeration and Diagnosis on
Panoramic X-rays Challenge at MICCAI 2023. Our approach consists of a
multi-step framework tailored to the task of detecting and classifying abnormal
teeth. The solution includes three sequential stages: dental instance
detection, healthy instance filtering, and abnormal instance classification. In
the first stage, we employed a Faster-RCNN model for detecting and identifying
teeth. In subsequent stages, we designed a model that merged the encoding
pathway of a pretrained U-net, optimized for dental lesion detection, with the
Vgg16 architecture. The resulting model was first used for filtering out
healthy teeth. Then, any identified abnormal teeth were categorized,
potentially falling into one or more of the following conditions: embedded,
periapical lesion, caries, deep caries. The model performing dental instance
detection achieved an AP score of 0.49. The model responsible for identifying
healthy teeth attained an F1 score of 0.71. Meanwhile, the model trained for
multi-label dental disease classification achieved an F1 score of 0.76. The
code is available at
https://github.com/tudordascalu/2d-teeth-detection-challenge.",2023-08-31T13:47:01Z,http://arxiv.org/abs/2309.00027v2,dental caries
"Design of quantum correlation based automatic focus detection system
  during dental laser operation","Binh Xuan Cao, Duc An Pham","Dental laser has been developed recently and gradually replaced the
conventional dental treatment methods, especially in dental caries removal. The
utility of laser in dentistry contributes to reduce the pain during surgery and
decrease the risk of sequelae after surgery. Although bringing about several
beneficial properties such as excellent directionality, high speed, ultra-tiny
active area and tunable energy concentration, laser is still quite limited in
dental surgery because of the difficulty in real-time high precision detection
of laser focus during the operation. In this study, a cutting-edge optical
system for real-time focus detection during dental laser operation employing
the quantum entanglement of photon pairs created via spontaneous parametric
downconversion (SPDC) is presented. Defocusing distance of the specimen which
is used as the sample tooth can be determined precisely through spatial
correlation of photons arriving at the detectors. The proposed technique can be
applied to design automatic focus detection system for use in dental laser
operation.",2019-07-25T08:15:22Z,http://arxiv.org/abs/1908.07610v5,dental caries
"Bayesian Hierarchical Spatial Model for Small Area Estimation with
  Non-ignorable Nonresponses and Its Applications to the NHANES Dental Caries
  Assessments","Ick Hoon Jin, Fang Liu, Evercita C. Eugenio, Kisung You, Suyu Liu","The National Health and Nutrition Examination Survey (NHANES) is a major
program of the National Center for Health Statistics, designed to assess the
health and nutritional status of adults and children in the United States. The
analysis of NHANES dental caries data faces several challenges, including (1)
the data were collected using a complex, multistage, stratified,
unequal-probability sampling design; (2) the sample size of some primary
sampling units (PSU), e.g., counties, is very small; (3) the measures of dental
caries have complicated structure and correlation, and (4) there is a
substantial percentage of nonresponses, for which the missing data are expected
to be not missing at random or non-ignorable. We propose a Bayesian
hierarchical spatial model to address these analysis challenges. We develop a
two-level Potts model that closely resembles the caries evolution process and
captures complicated spatial correlations between teeth and surfaces of the
teeth. By adding Bayesian hierarchies to the Potts model, we account for the
multistage survey sampling design and also enable information borrowing across
PSUs for small area estimation. We incorporate sampling weights by including
them as a covariate in the model and adopt flexible B-splines to achieve robust
inference. We account for non-ignorable missing outcomes and covariates using
the selection model. We use data augmentation coupled with the noisy exchange
sampler to obtain the posterior of model parameters that involve
doubly-intractable normalizing constants. Our analysis results show strong
spatial associations between teeth and tooth surfaces and that dental hygienic
factors, fluorosis and sealant reduce the risks of having dental diseases.",2018-10-12T00:18:24Z,http://arxiv.org/abs/1810.05297v3,dental caries
"Interpretable and Interactive Deep Multiple Instance Learning for Dental
  Caries Classification in Bitewing X-rays","Benjamin Bergner, Csaba Rohrer, Aiham Taleb, Martha Duchrau, Guilherme De Leon, Jonas Almeida Rodrigues, Falk Schwendicke, Joachim Krois, Christoph Lippert","We propose a simple and efficient image classification architecture based on
deep multiple instance learning, and apply it to the challenging task of caries
detection in dental radiographs. Technically, our approach contributes in two
ways: First, it outputs a heatmap of local patch classification probabilities
despite being trained with weak image-level labels. Second, it is amenable to
learning from segmentation labels to guide training. In contrast to existing
methods, the human user can faithfully interpret predictions and interact with
the model to decide which regions to attend to. Experiments are conducted on a
large clinical dataset of $\sim$38k bitewings ($\sim$316k teeth), where we
achieve competitive performance compared to various baselines. When guided by
an external caries segmentation model, a significant improvement in
classification and localization performance is observed.",2021-12-17T14:09:27Z,http://arxiv.org/abs/2112.09694v2,dental caries
"Object Detection for Caries or Pit and Fissure Sealing Requirement in
  Children's First Permanent Molars","Chenyao Jiang, Shiyao Zhai, Hengrui Song, Yuqing Ma, Yachen Fan, Yancheng Fang, Dongmei Yu, Canyang Zhang, Sanyang Han, Runming Wang, Yong Liu, Jianbo Li, Peiwu Qin","Dental caries is one of the most common oral diseases that, if left
untreated, can lead to a variety of oral problems. It mainly occurs inside the
pits and fissures on the occlusal/buccal/palatal surfaces of molars and
children are a high-risk group for pit and fissure caries in permanent molars.
Pit and fissure sealing is one of the most effective methods that is widely
used in prevention of pit and fissure caries. However, current detection of
pits and fissures or caries depends primarily on the experienced dentists,
which ordinary parents do not have, and children may miss the remedial
treatment without timely detection. To address this issue, we present a method
to autodetect caries and pit and fissure sealing requirements using oral photos
taken by smartphones. We use the YOLOv5 and YOLOX models and adopt a tiling
strategy to reduce information loss during image pre-processing. The best
result for YOLOXs model with tiling strategy is 72.3 mAP.5, while the best
result without tiling strategy is 71.2. YOLOv5s6 model with/without tiling
attains 70.9/67.9 mAP.5, respectively. We deploy the pre-trained network to
mobile devices as a WeChat applet, allowing in-home detection by parents or
children guardian.",2023-08-31T08:43:21Z,http://arxiv.org/abs/2308.16551v1,dental caries
"AI-Dentify: Deep learning for proximal caries detection on bitewing
  x-ray -- HUNT4 Oral Health Study","Javier Pérez de Frutos, Ragnhild Holden Helland, Shreya Desai, Line Cathrine Nymoen, Thomas Langø, Theodor Remman, Abhijit Sen","Background: Dental caries diagnosis requires the manual inspection of
diagnostic bitewing images of the patient, followed by a visual inspection and
probing of the identified dental pieces with potential lesions. Yet the use of
artificial intelligence, and in particular deep-learning, has the potential to
aid in the diagnosis by providing a quick and informative analysis of the
bitewing images.
  Methods: A dataset of 13,887 bitewings from the HUNT4 Oral Health Study were
annotated individually by six different experts, and used to train three
different object detection deep-learning architectures: RetinaNet (ResNet50),
YOLOv5 (M size), and EfficientDet (D0 and D1 sizes). A consensus dataset of 197
images, annotated jointly by the same six dentist, was used for evaluation. A
five-fold cross validation scheme was used to evaluate the performance of the
AI models.
  Results: he trained models show an increase in average precision and
F1-score, and decrease of false negative rate, with respect to the dental
clinicians. When compared against the dental clinicians, the YOLOv5 model shows
the largest improvement, reporting 0.647 mean average precision, 0.548 mean
F1-score, and 0.149 mean false negative rate. Whereas the best annotators on
each of these metrics reported 0.299, 0.495, and 0.164 respectively.
  Conclusion: Deep-learning models have shown the potential to assist dental
professionals in the diagnosis of caries. Yet, the task remains challenging due
to the artifacts natural to the bitewing images.",2023-09-30T12:17:36Z,http://arxiv.org/abs/2310.00354v3,dental caries
