title,authors,summary,published,link,keyword_used
"ToF-SIMS Investigations on Dental Implant Materials and Adsorbed Protein
  Films",Falk Bernsmann,"In this work the two experimental dental implant materials FAT and FAW, made
of fluoroapatite particles embedded in polymer matrices, and films of the
proteins lysozyme, amylase and bovine serum albumin (BSA), adsorbed to the two
dental implant materials, were investigated with time-of-flight secondary ion
mass spectrometry (ToF-SIMS) and the multivariate data analysis technique
discriminant principal component analysis (DPCA).",2011-06-23T07:21:11Z,http://arxiv.org/abs/1106.4644v1,dental implant
"Accurate 3D Prediction of Missing Teeth in Diverse Patterns for Precise
  Dental Implant Planning","Lei Ma, Peng Xue, Yuning Gu, Yue Zhao, Min Zhu, Zhongxiang Ding, Dinggang Shen","In recent years, the demand for dental implants has surged, driven by their
high success rates and esthetic advantages. However, accurate prediction of
missing teeth for precise digital implant planning remains a challenge due to
the intricate nature of dental structures and the variability in tooth loss
patterns. This study presents a novel framework for accurate prediction of
missing teeth in different patterns, facilitating digital implant planning. The
proposed framework begins by estimating point-to-point correspondence among a
dataset of dental mesh models reconstructed from CBCT images of healthy
subjects. Subsequently, tooth dictionaries are constructed for each tooth type,
encoding their position and shape information based on the established
point-to-point correspondence. To predict missing teeth in a given dental mesh
model, sparse coefficients are learned by sparsely representing adjacent teeth
of the missing teeth using the corresponding tooth dictionaries. These
coefficients are then applied to the dictionaries of the missing teeth to
generate accurate predictions of their positions and shapes. The evaluation
results on real subjects shows that our proposed framework achieves an average
prediction error of 1.04mm for predictions of single missing tooth and an
average prediction error of 1.33mm for the prediction of 14 missing teeth,
which demonstrates its capability of accurately predicting missing teeth in
various patterns. By accurately predicting missing teeth, dental professionals
can improve the planning and placement of dental implants, leading to better
esthetic and functional outcomes for patients undergoing dental implant
procedures.",2023-07-16T05:52:37Z,http://arxiv.org/abs/2307.07953v1,dental implant
"Lack of corundum, carbon residues and revealing gaps on dental implants","Guy Florian Draenert, Gergo Mitov","Surface modification is an important topic to improve dental implants.
Corundum residues, which are part of current dental implant blasting,
disappeared on Straumann dental implants in recent publications. In our
investigations of the surface of 4 different Straumann implants using scanning
electron microscopy (SEM) and energy-dispersive X-ray spectroscopy (EDX) we
found the following three main findings: surfaces are nearly corundum-free,
disseminated gap-framed corundum particles and significant molecular carbon
residues. The data strongly suggest that Straumann applies a modified surface
technology on dental implants to remove corundum residues and involving unclear
carbons. One explanation could be, a Straumann patent involving a dextran
coating allowing easy corundum particle removal by aqueous solution, while
unintended molecular carbon residues cannot explain all findings. This change
of the production process without a new approval by the FDA would be a
violation of US federal law and the carbon bindings are a possible danger to
patients.",2022-09-13T04:45:44Z,http://arxiv.org/abs/2209.05728v1,dental implant
"Local tissue effects and peri-implant bone healing induced by implant
  surface treatment: an in vivo study in the sheep","Nicolas Rousseau, Ines Msolli, Patrick Chabrand, Arnaud Destainville, Olivier Richart, Jean-Louis Milan","Objective: The aim of this study was to assess, through biological analysis,
the local effects and osseointegration of dental implants incorporating surface
micro/nanofeatures compared to implants of identical design without surface
treatment. Background: Known to impact bone cell behavior, surface chemical and
topography modifications target improved osseointegration and long-term success
of dental implants. Very few studies assess the performance of implants
presenting both micro-and nanofeatures in vivo on the animal models used in
preclinical studies for medical device certification. Methods: Implant surfaces
were characterized in terms of topography and surface chemical composition.
After 4 weeks and 13 weeks of implantation in sheep femoral condyles, forty
implants were evaluated through micro-computed tomography, histopathologic, and
histomorphometric analyses. Results: No local adverse effects were observed
around implants. Histomorphometric analyses showed significantly higher
bone-to-implant contact in the coronal region of the surface treated implant at
week 4 and week 13, respectively 79.3$\pm$11.2% and 86.4$\pm$6.7%, compared to
the untreated implant's 68.3$\pm$8.8% and 74.8$\pm$13%. Micro-computed
tomography analyses revealed that healing patterns differed between coronal and
apical regions, with higher coronal boneto-implant contact at week 13.
Histopathologic results showed, at week 13, bone healing around the surface
treated implant with undistinguishable defect margins while the untreated
implant still presented bone condensation and traces of the initial drill
defect. Conclusion: Our results suggest that the surface treated implant not
only shows no deleterious effects on local tissues but also promotes faster
bone healing around the implant. (word count: 241",2021-04-09T07:33:59Z,http://arxiv.org/abs/2104.04223v1,dental implant
"TCSloT: Text Guided 3D Context and Slope Aware Triple Network for Dental
  Implant Position Prediction","Xinquan Yang, Jinheng Xie, Xuechen Li, Xuguang Li, Linlin Shen, Yongqiang Deng","In implant prosthesis treatment, the surgical guide of implant is used to
ensure accurate implantation. However, such design heavily relies on the manual
location of the implant position. When deep neural network has been proposed to
assist the dentist in locating the implant position, most of them take a single
slice as input, which do not fully explore 3D contextual information and
ignoring the influence of implant slope. In this paper, we design a Text Guided
3D Context and Slope Aware Triple Network (TCSloT) which enables the perception
of contextual information from multiple adjacent slices and awareness of
variation of implant slopes. A Texture Variation Perception (TVP) module is
correspondingly elaborated to process the multiple slices and capture the
texture variation among slices and a Slope-Aware Loss (SAL) is proposed to
dynamically assign varying weights for the regression head. Additionally, we
design a conditional text guidance (CTG) module to integrate the text condition
(i.e., left, middle and right) from the CLIP for assisting the implant position
prediction. Extensive experiments on a dental implant dataset through five-fold
cross-validation demonstrated that the proposed TCSloT achieves superior
performance than existing methods.",2023-08-10T05:51:21Z,http://arxiv.org/abs/2308.05355v1,dental implant
"ImplantFormer: Vision Transformer based Implant Position Regression
  Using Dental CBCT Data","Xinquan Yang, Xuguang Li, Xuechen Li, Peixi Wu, Linlin Shen, Yongqiang Deng","Implant prosthesis is the most appropriate treatment for dentition defect or
dentition loss, which usually involves a surgical guide design process to
decide the implant position. However, such design heavily relies on the
subjective experiences of dentists. In this paper, a transformer-based Implant
Position Regression Network, ImplantFormer, is proposed to automatically
predict the implant position based on the oral CBCT data. We creatively propose
to predict the implant position using the 2D axial view of the tooth crown area
and fit a centerline of the implant to obtain the actual implant position at
the tooth root. Convolutional stem and decoder are designed to coarsely extract
image features before the operation of patch embedding and integrate
multi-level feature maps for robust prediction, respectively. As both
long-range relationship and local features are involved, our approach can
better represent global information and achieves better location performance.
Extensive experiments on a dental implant dataset through five-fold
cross-validation demonstrated that the proposed ImplantFormer achieves superior
performance than existing methods.",2022-10-29T02:31:27Z,http://arxiv.org/abs/2210.16467v3,dental implant
"Simplify Implant Depth Prediction as Video Grounding: A Texture Perceive
  Implant Depth Prediction Network","Xinquan Yang, Xuguang Li, Xiaoling Luo, Leilei Zeng, Yudi Zhang, Linlin Shen, Yongqiang Deng","Surgical guide plate is an important tool for the dental implant surgery.
However, the design process heavily relies on the dentist to manually simulate
the implant angle and depth. When deep neural networks have been applied to
assist the dentist quickly locates the implant position, most of them are not
able to determine the implant depth. Inspired by the video grounding task which
localizes the starting and ending time of the target video segment, in this
paper, we simplify the implant depth prediction as video grounding and develop
a Texture Perceive Implant Depth Prediction Network (TPNet), which enables us
to directly output the implant depth without complex measurements of oral bone.
TPNet consists of an implant region detector (IRD) and an implant depth
prediction network (IDPNet). IRD is an object detector designed to crop the
candidate implant volume from the CBCT, which greatly saves the computation
resource. IDPNet takes the cropped CBCT data to predict the implant depth. A
Texture Perceive Loss (TPL) is devised to enable the encoder of IDPNet to
perceive the texture variation among slices. Extensive experiments on a large
dental implant dataset demonstrated that the proposed TPNet achieves superior
performance than the existing methods.",2024-06-07T03:24:04Z,http://arxiv.org/abs/2406.04603v1,dental implant
Resonant frequency analysis of dental implants,"D Rittel, A Dorogoy, G. Haiat, K Shemtov-Yona","Dental implant stability influences the decision on the determination of the
duration between implant insertion and loading, This work investigates the
resonant frequency analysis by means of a numerical model. The investigation is
done numerically through the determination of the eigenfrequencies and
performing a steady state response analyses using a commercial finite element
package. A peri-implant interface, of simultaneously varying stiffness
(density) and layer thickness is introduced in the numerical 3D model in order
to probe the sensitivity of the eigenfrequencies and steady state response to
an evolving weakened layer, in an attempt to identify the bone reconstruction
around the implant. For the first two modes, the resonant frequency is somewhat
insensitive to the healing process, unless the weakened layer is rather large
and compliant, like in the very early stages of the implantation. A ""Normalized
Healing Factor"" is devised in the spirit of the Implant Stability Quotient,
which can identify the healing process especially at the early stages after
implantation. The sensitivity of the RFA to changes of mechanical properties of
periprosthetic bone tissue seems relatively weak. Another indicator considering
the amplitude as well as the resonance frequency might be more adapted to bone
healing estimations. However, these results need to be verified experimentally
as well as clinically.",2019-05-17T07:59:21Z,http://arxiv.org/abs/1905.07154v1,dental implant
"Nonlinear ill-posed problem in low-dose dental cone-beam computed
  tomography","Hyoung Suk Park, Chang Min Hyun, Jin Keun Seo","This paper describes the mathematical structure of the ill-posed nonlinear
inverse problem of low-dose dental cone-beam computed tomography (CBCT) and
explains the advantages of a deep learning-based approach to the reconstruction
of computed tomography images over conventional regularization methods. This
paper explains the underlying reasons why dental CBCT is more ill-posed than
standard computed tomography. Despite this severe ill-posedness, the demand for
dental CBCT systems is rapidly growing because of their cost competitiveness
and low radiation dose. We then describe the limitations of existing methods in
the accurate restoration of the morphological structures of teeth using dental
CBCT data severely damaged by metal implants. We further discuss the usefulness
of panoramic images generated from CBCT data for accurate tooth segmentation.
We also discuss the possibility of utilizing radiation-free intra-oral scan
data as prior information in CBCT image reconstruction to compensate for the
damage to data caused by metal implants.",2023-03-03T02:46:15Z,http://arxiv.org/abs/2303.01678v1,dental implant
"Emerging basic, clinical and translational research fronts in dental
  biomaterials R&D","David Fajardo-Ortiz, Pablo Jaramillo, Claudia Jaramillo, Raul Resendiz, Miguel Lara-Flores, Victor M. Castano","The current (2007-2007) structure and content of dental materials research
has been investigated by identifying and describing the emergent research
fronts which can be related to basic, translational and clinical observation
research. By a combination of network analysis and text mining of the
literature on dental materials indexed in the Web of Science, we have
identified eleven emerging research fronts. These fronts are related to
different dental materials applications which are at different levels in the
knowledge translation and biomedical innovation process. We identified fronts
related to dominant designs like titanium implants, competing technologies like
ceramics and composites applications to prothesis and restauration, and
disruptive technologies like nanomaterials and mineral trioxide aggregates. Our
results suggest the possible relation between the technological complexity of
the dental materials and the level of advance in terms of knowledge
translation. This is the first time the structure and content of research on
dental materials research is analyzed.",2017-11-30T00:30:24Z,http://arxiv.org/abs/1711.11168v1,dental implant
