title,authors,summary,published,link,keyword_used
"AI Techniques for Cone Beam Computed Tomography in Dentistry: Trends and
  Practices","Saba Sarwar, Suraiya Jabin","Cone-beam computed tomography (CBCT) is a popular imaging modality in
dentistry for diagnosing and planning treatment for a variety of oral diseases
with the ability to produce detailed, three-dimensional images of the teeth,
jawbones, and surrounding structures. CBCT imaging has emerged as an essential
diagnostic tool in dentistry. CBCT imaging has seen significant improvements in
terms of its diagnostic value, as well as its accuracy and efficiency, with the
most recent development of artificial intelligence (AI) techniques. This paper
reviews recent AI trends and practices in dental CBCT imaging. AI has been used
for lesion detection, malocclusion classification, measurement of buccal bone
thickness, and classification and segmentation of teeth, alveolar bones,
mandibles, landmarks, contours, and pharyngeal airways using CBCT images.
Mainly machine learning algorithms, deep learning algorithms, and
super-resolution techniques are used for these tasks. This review focuses on
the potential of AI techniques to transform CBCT imaging in dentistry, which
would improve both diagnosis and treatment planning. Finally, we discuss the
challenges and limitations of artificial intelligence in dentistry and CBCT
imaging.",2023-06-05T16:45:39Z,http://arxiv.org/abs/2306.03025v2,dentistry
"3D and 4D printing in dentistry and maxillofacial surgery: Recent
  advances and future perspectives","Danial Khorsandi, Amir Fahimipour, Payam Abasian, Sepehr Sadeghpour Saber, Mahla Seyedi, Sonia Ghanavati, Amir Ahmad, Andrea Amoretti De Stephanis, Fatemeh Taghavinezhad, Anna Leonova, Reza Mohammadinejad, Majid Shabani, Barbara Mazzolai, Virgilio Mattoli, Franklin R. Tay, Pooyan Makvandi","3D and 4D printing are cutting-edge technologies for precise and expedited
manufacturing of objects ranging from plastic to metal. Recent advances in 3D
and 4D printing technologies in dentistry and maxillofacial surgery enable
dentists to custom design and print surgical drill guides, temporary and
permanent crowns and bridges, orthodontic appliances and orthotics, implants,
mouthguards for drug delivery. In the present review, different 3D printing
technologies available for use in dentistry are highlighted together with a
critique on the materials available for printing. Recent reports of the
application of these printed platformed are highlighted to enable readers
appreciate the progress in 3D/4D printing in dentistry.",2021-03-29T09:39:26Z,http://arxiv.org/abs/2103.15455v1,dentistry
"ChatGPT for Shaping the Future of Dentistry: The Potential of
  Multi-Modal Large Language Model","Hanyao Huang, Ou Zheng, Dongdong Wang, Jiayi Yin, Zijin Wang, Shengxuan Ding, Heng Yin, Chuan Xu, Renjie Yang, Qian Zheng, Bing Shi","The ChatGPT, a lite and conversational variant of Generative Pretrained
Transformer 4 (GPT-4) developed by OpenAI, is one of the milestone Large
Language Models (LLMs) with billions of parameters. LLMs have stirred up much
interest among researchers and practitioners in their impressive skills in
natural language processing tasks, which profoundly impact various fields. This
paper mainly discusses the future applications of LLMs in dentistry. We
introduce two primary LLM deployment methods in dentistry, including automated
dental diagnosis and cross-modal dental diagnosis, and examine their potential
applications. Especially, equipped with a cross-modal encoder, a single LLM can
manage multi-source data and conduct advanced natural language reasoning to
perform complex clinical operations. We also present cases to demonstrate the
potential of a fully automatic Multi-Modal LLM AI system for dentistry clinical
application. While LLMs offer significant potential benefits, the challenges,
such as data privacy, data quality, and model bias, need further study.
Overall, LLMs have the potential to revolutionize dental diagnosis and
treatment, which indicates a promising avenue for clinical application and
research in dentistry.",2023-03-23T15:34:26Z,http://arxiv.org/abs/2304.03086v2,dentistry
Cone-beam CT for Dental Radiography,"Kaspar Höschel, Janos Juhasz","The cone beam computed tomography (CBCT) technique was first inserted in
dental imaging 15 years ago. Due to this technique 3D imaging in dentistry has
been excessively changed. The purpose beyond using CBCT instead of computed
tomography (CT) imaging is that CT can not be used in many cases in dentistry,
in addition to the higher radiation and cost of CT. Nowadays, CBCT can be
applied in diagnostics for several dental specialties because of the variety of
services it offers and the specification of use. In contrast to CT, CBCT has
shown great benefits in endodontics, implant planning oral and maxillofacial
surgery and even in orthodontics.",2018-12-10T16:13:38Z,http://arxiv.org/abs/1812.03900v1,dentistry
"A step-by-step guide to generalized estimating equations using SPSS in
  the field of dentistry","Hoi-Jeong Lim, Soo-Hyeon Park","The Generalized Estimating Equations (GEE) approach is a widely used
statistical method for analyzing longitudinal data and clustered data in clinic
studies. In dentistry, due to multiple outcomes obtained from one patient, the
outcomes produced from individual patients are correlated with one another.
This study focuses on the basic ideas of GEE and introduces the types of
covariance matrix and working correlation matrix. The quasi-likelihood
information criterion(QIC) and quasi-likelihood information criterion
approximation(QICu) were used to select the best working matrix and the best
fitting model for the correlated outcomes.",2025-02-22T15:22:59Z,http://arxiv.org/abs/2502.16261v1,dentistry
"Generative artificial intelligence in dentistry: Current approaches and
  future challenges","Fabián Villena, Claudia Véliz, Rosario García-Huidobro, Sebastián Aguayo","Artificial intelligence (AI) has become a commodity for people because of the
advent of generative AI (GenAI) models that bridge the usability gap of AI by
providing a natural language interface to interact with complex models. These
GenAI models range from text generation - such as two-way chat systems - to the
generation of image or video from textual descriptions input by a user. These
advancements in AI have impacted Dentistry in multiple aspects. In dental
education, the student now has the opportunity to solve a plethora of questions
by only prompting a GenAI model and have the answer in a matter of seconds.
GenAI models can help us deliver better patient healthcare by helping
practitioners gather knowledge quickly and efficiently. Finally, GenAI can also
be used in dental research, where the applications range from new drug
discovery to assistance in academic writing. In this review, we first define
GenAI models and describe their multiple generation modalities; then, we
explain and discuss their current and potential applications in Dentistry; and
finally, we describe the challenges these new technologies impose in our area.",2024-07-24T03:33:47Z,http://arxiv.org/abs/2407.17532v1,dentistry
"Virtual Alignment Method and its application to the dental prostheses
  and diagnosis","Kyungtaek Jun, Seokhwan Yoon, Jae-Hong Lim, SeungJoon Noh","The recent proposal of a new alignment solution for X-ray tomography, Virtual
alignment method (VAM) allowed a more accurate method to remove the possible
errors that limit the resolution and clarity of the reconstructed image. In the
field of dentistry, the movement of patients during the scanning poses as one
of the major factors hindering the final reconstructed image quality. Here, the
patient's movement was artificially given to the projection image set and the
newly proposed algorithm using the sinogram and the fixed point was applied to
the tooth sample to compare the reconstruction image to the actual projection
image set. The new alignment method showed promising results by reducing the
margin of errors down to a few micrometer, which will allow the production of
high-quality dental prostheses with accuracy and precision. We hope that the
newly proposed alignment method can be further investigated to be applied more
readily in the filed of dentistry ot provide better quality images of patients
to make a more accurate diagnosis and prostheses.",2020-10-26T01:27:49Z,http://arxiv.org/abs/2010.14231v1,dentistry
DETDet: Dual Ensemble Teeth Detection,"Kyoungyeon Choi, Jaewon Shin, Eunyi Lyou","The field of dentistry is in the era of digital transformation. Particularly,
artificial intelligence is anticipated to play a significant role in digital
dentistry. AI holds the potential to significantly assist dental practitioners
and elevate diagnostic accuracy. In alignment with this vision, the 2023 MICCAI
DENTEX challenge aims to enhance the performance of dental panoramic X-ray
diagnosis and enumeration through technological advancement. In response, we
introduce DETDet, a Dual Ensemble Teeth Detection network. DETDet encompasses
two distinct modules dedicated to enumeration and diagnosis. Leveraging the
advantages of teeth mask data, we employ Mask-RCNN for the enumeration module.
For the diagnosis module, we adopt an ensemble model comprising DiffusionDet
and DINO. To further enhance precision scores, we integrate a complementary
module to harness the potential of unlabeled data. The code for our approach
will be made accessible at https://github.com/Bestever-choi/Evident",2023-08-27T11:04:26Z,http://arxiv.org/abs/2308.14070v1,dentistry
A review of dental informatics : current trends and future directions,"Prabath Jayatissa, Roshan Hewapathirane","Dental informatics is a rapidly evolving field that combines dentistry with
information technology to improve oral health care delivery, research, and
education. Electronic health records (EHRs), telehealth, digital imaging, and
other digital tools have revolutionised how dental professionals diagnose,
treat, and manage oral health conditions. In this review article, we will
explore dental informatics's current trends and future directions, focusing on
its impact on clinical practice, research, and education. We will also discuss
the challenges and opportunities associated with implementing dental
informatics and highlight fundamental research studies and innovations in the
field.",2023-06-29T11:27:38Z,http://arxiv.org/abs/2307.03686v1,dentistry
Meta-analysis in dental research,Hoi-Jeong Lim,"Recently, importance of meta-analysis is increasing in the field of
dentistry, since it is not easy to settle controversies arising from
conflicting studies. Meta-analysis is the statistical method of combining
results from two or more individual studies that have been done on the same
topic. Merits of meta-analysis includes an increase in power, an improvement in
precision, and the ability to address solution not provided by individual
studies. However, it might mislead researchers when variation across studies
and publication bias are not carefully taken into consideration. The purpose of
this study is to help understand meta-analysis by making use of individual
results in dental research paper.",2025-02-22T14:54:58Z,http://arxiv.org/abs/2502.16250v1,dentistry
"Construction of unbiased dental template and parametric dental model for
  precision digital dentistry","Lei Ma, Jingyang Zhang, Ke Deng, Peng Xue, Zhiming Cui, Yu Fang, Minhui Tang, Yue Zhao, Min Zhu, Zhongxiang Ding, Dinggang Shen","Dental template and parametric dental models are important tools for various
applications in digital dentistry. However, constructing an unbiased dental
template and accurate parametric dental models remains a challenging task due
to the complex anatomical and morphological dental structures and also low
volume ratio of the teeth. In this study, we develop an unbiased dental
template by constructing an accurate dental atlas from CBCT images with
guidance of teeth segmentation. First, to address the challenges, we propose to
enhance the CBCT images and their segmentation images, including image
cropping, image masking and segmentation intensity reassigning. Then, we
further use the segmentation images to perform co-registration with the CBCT
images to generate an accurate dental atlas, from which an unbiased dental
template can be generated. By leveraging the unbiased dental template, we
construct parametric dental models by estimating point-to-point correspondences
between the dental models and employing Principal Component Analysis to
determine shape subspaces of the parametric dental models. A total of 159 CBCT
images of real subjects are collected to perform the constructions.
Experimental results demonstrate effectiveness of our proposed method in
constructing unbiased dental template and parametric dental model. The
developed dental template and parametric dental models are available at
https://github.com/Marvin0724/Teeth_template.",2023-04-07T09:39:03Z,http://arxiv.org/abs/2304.03556v1,dentistry
"Exploring the Role of Convolutional Neural Networks (CNN) in Dental
  Radiography Segmentation: A Comprehensive Systematic Literature Review","Walid Brahmi, Imen Jdey, Fadoua Drira","In the field of dentistry, there is a growing demand for increased precision
in diagnostic tools, with a specific focus on advanced imaging techniques such
as computed tomography, cone beam computed tomography, magnetic resonance
imaging, ultrasound, and traditional intra-oral periapical X-rays. Deep
learning has emerged as a pivotal tool in this context, enabling the
implementation of automated segmentation techniques crucial for extracting
essential diagnostic data. This integration of cutting-edge technology
addresses the urgent need for effective management of dental conditions, which,
if left undetected, can have a significant impact on human health. The
impressive track record of deep learning across various domains, including
dentistry, underscores its potential to revolutionize early detection and
treatment of oral health issues. Objective: Having demonstrated significant
results in diagnosis and prediction, deep convolutional neural networks (CNNs)
represent an emerging field of multidisciplinary research. The goals of this
study were to provide a concise overview of the state of the art, standardize
the current debate, and establish baselines for future research. Method: In
this study, a systematic literature review is employed as a methodology to
identify and select relevant studies that specifically investigate the deep
learning technique for dental imaging analysis. This study elucidates the
methodological approach, including the systematic collection of data,
statistical analysis, and subsequent dissemination of outcomes. Conclusion:
This work demonstrates how Convolutional Neural Networks (CNNs) can be employed
to analyze images, serving as effective tools for detecting dental pathologies.
Although this research acknowledged some limitations, CNNs utilized for
segmenting and categorizing teeth exhibited their highest level of performance
overall.",2024-01-17T13:00:57Z,http://arxiv.org/abs/2401.09190v1,dentistry
"H-FCBFormer Hierarchical Fully Convolutional Branch Transformer for
  Occlusal Contact Segmentation with Articulating Paper","Ryan Banks, Bernat Rovira-Lastra, Jordi Martinez-Gomis, Akhilanand Chaurasia, Yunpeng Li","Occlusal contacts are the locations at which the occluding surfaces of the
maxilla and the mandible posterior teeth meet. Occlusal contact detection is a
vital tool for restoring the loss of masticatory function and is a mandatory
assessment in the field of dentistry, with particular importance in
prosthodontics and restorative dentistry. The most common method for occlusal
contact detection is articulating paper. However, this method can indicate
significant medically false positive and medically false negative contact
areas, leaving the identification of true occlusal indications to clinicians.
To address this, we propose a multiclass Vision Transformer and Fully
Convolutional Network ensemble semantic segmentation model with a combination
hierarchical loss function, which we name as Hierarchical Fully Convolutional
Branch Transformer (H-FCBFormer). We also propose a method of generating
medically true positive semantic segmentation masks derived from expert
annotated articulating paper masks and gold standard masks. The proposed model
outperforms other machine learning methods evaluated at detecting medically
true positive contacts and performs better than dentists in terms of accurately
identifying object-wise occlusal contact areas while taking significantly less
time to identify them. Code is available at
https://github.com/Banksylel/H-FCBFormer.",2024-07-10T12:42:39Z,http://arxiv.org/abs/2407.07604v1,dentistry
