title,authors,summary,published,link,keyword_used
"Towards Earlier Detection of Oral Diseases On Smartphones Using Oral and
  Dental RGB Images","Ayush Garg, Julia Lu, Anika Maji","Oral diseases such as periodontal (gum) diseases and dental caries (cavities)
affect billions of people across the world today. However, previous
state-of-the-art models have relied on X-ray images to detect oral diseases,
making them inaccessible to remote monitoring, developing countries, and
telemedicine. To combat this overuse of X-ray imagery, we propose a lightweight
machine learning model capable of detecting calculus (also known as hardened
plaque or tartar) in RGB images while running efficiently on low-end devices.
The model, a modified MobileNetV3-Small neural network transfer learned from
ImageNet, achieved an accuracy of 72.73% (which is comparable to
state-of-the-art solutions) while still being able to run on mobile devices due
to its reduced memory requirements and processing times. A ResNet34-based model
was also constructed and achieved an accuracy of 81.82%. Both of these models
were tested on a mobile app, demonstrating their potential to limit the number
of serious oral disease cases as their predictions can help patients schedule
appointments earlier without the need to go to the clinic.",2023-08-30T02:01:19Z,http://arxiv.org/abs/2308.15705v1,gum disease
"Oral-3D: Reconstructing the 3D Bone Structure of Oral Cavity from 2D
  Panoramic X-ray","Weinan Song, Yuan Liang, Jiawei Yang, Kun Wang, Lei He","Panoramic X-ray (PX) provides a 2D picture of the patient's mouth in a
panoramic view to help dentists observe the invisible disease inside the gum.
However, it provides limited 2D information compared with cone-beam computed
tomography (CBCT), another dental imaging method that generates a 3D picture of
the oral cavity but with more radiation dose and a higher price. Consequently,
it is of great interest to reconstruct the 3D structure from a 2D X-ray image,
which can greatly explore the application of X-ray imaging in dental surgeries.
In this paper, we propose a framework, named Oral-3D, to reconstruct the 3D
oral cavity from a single PX image and prior information of the dental arch.
Specifically, we first train a generative model to learn the cross-dimension
transformation from 2D to 3D. Then we restore the shape of the oral cavity with
a deformation module with the dental arch curve, which can be obtained simply
by taking a photo of the patient's mouth. To be noted, Oral-3D can restore both
the density of bony tissues and the curved mandible surface. Experimental
results show that Oral-3D can efficiently and effectively reconstruct the 3D
oral structure and show critical information in clinical applications, e.g.,
tooth pulling and dental implants. To the best of our knowledge, we are the
first to explore this domain transformation problem between these two imaging
methods.",2020-03-18T18:02:57Z,http://arxiv.org/abs/2003.08413v4,gum disease
"Investigating biomechanical determinants of endothelial permeability in
  a modified hollow fibre bioreactor","Stephen G Gray, Peter D Weinberg","Effects of mechanical stress on the permeability of vascular endothelium are
important to normal physiology and may be critical in the development of
atherosclerosis, where they can account for the patchy arterial distribution of
the disease. Such properties are frequently investigated in vitro. Here we
evaluate and use the hollow fibre bioreactor for this purpose; in this system,
endothelial cells form a confluent monolayer lining numerous plastic
capillaries with porous walls, contained in a cartridge. The capillaries were
perfused with a near-aortic waveform by an external pump, and permeability was
assessed by the movement of rhodamine-labelled albumin from the intracapillary
space to the extracapillary space. Confluence and quiescence of the cells was
confirmed by electron microscopy and measurements of glucose consumption and
permeability. The system was able to detect previously established influences
on permeability: tracer transport was increased by acute application of shear
stress and decreased by chronic shear stress compared to a static control, and
was increased by thrombin or an NO synthase inhibitor under chronic shear.
Increasing viscosity by addition of xanthan gum reduced permeability under both
acute and chronic shear. Addition of damping chambers to reduce flow
pulsatility increased permeability. Modifying the cartridge to allow chronic
convection across the monolayer increased effective permeability more than
could be explained the addition of convective transport alone, indicating that
it caused an increase in permeability. The off-the-shelf hollow fibre
bioreactor provides an excellent system for investigating the biomechanics of
endothelial permeability and its potential is increased by simple
modifications.",2023-03-02T18:27:58Z,http://arxiv.org/abs/2303.01466v1,gum disease
Scatter broadening of pulsars in the direction of the Gum nebula,"D. Mitra, R. Ramachandran","We have measured the scatter broadening of pulsars in the direction of the
Gum nebula. For the first time, our observations show clear variations of
scattering properties across the Gum nebula. The IRAS-Vela shell is shown to be
a high scattering region. Our revised estimations of distances to these pulsars
are consistently less by a factor of 2--3, which has very important
consequences for the deduced values of radio luminosity and transverse velocity
of pulsars.",2001-05-04T14:23:19Z,http://arxiv.org/abs/astro-ph/0105076v1,gum disease
The GAMBIT Universal Model Machine: from Lagrangians to Likelihoods,"Sanjay Bloor, Tomás E. Gonzalo, Pat Scott, Christopher Chang, Are Raklev, José Eliel Camargo-Molina, Anders Kvellestad, Janina J. Renk, Peter Athron, Csaba Balázs","We introduce the GAMBIT Universal Model Machine (GUM), a tool for
automatically generating code for the global fitting software framework GAMBIT,
based on Lagrangian-level inputs. GUM accepts models written symbolically in
FeynRules and SARAH formats, and can use either tool along with MadGraph and
CalcHEP to generate GAMBIT model, collider, dark matter, decay and spectrum
code, as well as GAMBIT interfaces to corresponding versions of SPheno,
micrOMEGAs, Pythia and Vevacious (C++). In this paper we describe the features,
methods, usage, pathways, assumptions and current limitations of GUM. We also
give a fully worked example, consisting of the addition of a Majorana fermion
simplified dark matter model with a scalar mediator to GAMBIT via GUM, and
carry out a corresponding fit.",2021-06-30T18:00:22Z,http://arxiv.org/abs/2107.00030v3,gum disease
Superconductivity in Al-Nb-Ti-V-Zr multicomponent alloy,"Yuta Harayama, Jiro Kitagawa","The superconducting high-entropy alloys (HEAs) recently attract considerable
attention due to their exciting properties, such as the robustness of
superconductivity against atomic disorder and extremely high-pressure. The
well-studied crystal structure of superconducting HEAs is body-centered-cubic
(bcc) containing Nb, Ti, and Zr atoms. The same elements are contained in
Al5Nb24Ti40V5Zr26, which is a recently discovered bcc HEA and shows a
gum-metal-like behavior after cold rolling. The gum metal is also an
interesting system, exhibiting superelasticity and low Young's modulus. If gum
metals show superconductivity and can be used as a superconducting wire, the
gum-metal HEA superconductors might be the next-generation superconducting wire
materials. Aiming at a fundamental assessment of as-cast Al-Nb-Ti-V-Zr
multicomponent alloys including Al5Nb24Ti40V5Zr26, we have investigated the
structural and superconducting properties of the alloys. All alloys
investigated show the superconductivity, and the valence electron concentration
dependence of the superconducting critical temperature is very close to those
of typical superconducting bcc HEAs.",2021-07-19T22:58:03Z,http://arxiv.org/abs/2107.09187v1,gum disease
"Massive star formation in the Carina nebula complex and Gum 31 -- II. a
  cloud-cloud collision in Gum 31","Shinji Fujita, Hidetoshi Sano, Rei Enokiya, Katsuhiro Hayashi, Mikito Kohno, Kisetsu Tsuge, Kengo Tachihara, Atsushi Nishimura, Akio Ohama, Yumiko Yamane, Takahiro Ohno, Rin I. Yamada, Yasuo Fukui","We present the results of analyses of the 12CO (J=1-0), 13CO (J=1-0), and
12CO (J=2-1) emission data toward Gum 31. Three molecular clouds separated in
velocity were detected at -25, -20, and -10 km/s . The velocity structure of
the molecular clouds in Gum 31 cannot be interpreted as expanding motion. Two
of them, the -25 km/s cloud and the -20 km/s cloud, are likely associated with
Gum 31, because their 12CO (J=2-1)/12CO (J=1-0) intensity ratios are high. We
found that these two clouds show the observational signatures of cloud-cloud
collisions (CCCs): a complementary spatial distribution and a V-shaped
structure (bridge features) in the position-velocity diagram. In addition,
their morphology and velocity structures are very similar to the numerical
simulations conducted by the previous studies. We propose a scenario that the
-25 km/s cloud and the -20 km/s cloud were collided and triggered the formation
of the massive star system HD 92206 in Gum 31. This scenario can explain the
offset of the stars from the center and the morphology of Gum 31
simultaneously. The timescale of the collision was estimated to be ~1 Myr by
using the ratio between the path length of the collision and the assumed
velocity separation. This is consistent with that of the CCCs in Carina Nebula
Complex in our previous study.",2021-07-13T08:18:32Z,http://arxiv.org/abs/2107.06671v2,gum disease
Monte Carlo uncertainty estimation for wavelength calibration,"Thang H. L., Nguyen D. D., Dung D. N.","CIPM published the Supplement I for GUM in 2008 as not only an alternative
approach to estimate the uncertainty for a given calibration measurement but
also as a proper uncertainty estimation one, whenever any of the conditions
imposed in GUM which must be satisfied does not hold [1, 2]. Before the
introduction of the new approach in the Supplement I, namely Monte Carlo (MC)
method, the GUM rules have been always applied even if in cases where the
mentioned conditions were not fulfilled. After or even before the official
introduction of this MC method, a number of published papers in uncertainty
estimation by using MC method had been shown up, giving more insight for the
ways the uncertainties estimated and also for the specific calibration
measurements under investigation themselves [3 - 16]. However, in most of those
published papers, the application conditions required before a method selection
should be analyzed, in fact, has been ignored. In our uncertainty study for
wavelength calibration by using beat frequency technique, the application
conditions have not been ignored but analyzed carefully and it was found that a
GUM application condition was unsatisfactory. However, all the MC method
conditions for this calibration problem have been well fulfilled. A computer
program was then coded [17] following the steps in the Supplement I. The
resultant outputs showed difference in statistical nature and suggested to
replace the MC method to the GUM one as soon as possible for this case.",2010-12-13T05:14:36Z,http://arxiv.org/abs/1012.2631v2,gum disease
Implications of MAX for CDM,"Mark Srednicki, Martin White, Douglas Scott, Emory T. Bunn","We analyze the Gamma Ursae Minoris (GUM) and Mu Pegasii (MuP) scans of the
Millimeter-wave Anisotropy eXperiment in the context of cold dark matter (CDM)
models of structure formation, paying particular attention to the
two-dimensional nature of the GUM scan. If all of the structure in the
(foreground subtracted) data is attributed to cosmic microwave background
anisotropy, then there is a detection in each scan. For a standard CDM model,
the amplitudes of the signals are individually compatible with the COsmic
Background Explorer measurement, but marginally inconsistent with each other.",1993-09-01T23:24:35Z,http://arxiv.org/abs/astro-ph/9309006v1,gum disease
Hadamard functions of inverse M-Matrices,"Claude Dellacherie, Servet Martinez, Jaime San Martin","We prove that the class of GUM matrices is the largest class of bi-potential
matrices stable under Hadamard increasing functions. We also show that any
power greater than 1, in the sense of Hadamard functions, of an inverse
M-matrix is also inverse M-matrix showing a conjecture stated in Neumann 1998.
We study the class of filtered matrices, which include naturally the GUM
matrices, and present some sufficient conditions for a filtered matrix to be a
bi-potential.",2006-01-27T21:21:15Z,http://arxiv.org/abs/math/0601688v1,gum disease
