title,authors,summary,published,link,keyword_used
"OralCam: Enabling Self-Examination and Awareness of Oral Health Using a
  Smartphone Camera","Yuan Liang, Hsuan-Wei Fan, Zhujun Fang, Leiying Miao, Wen Li, Xuan Zhang, Weibin Sun, Kun Wang, Lei He, Xiang Anthony Chen","Due to a lack of medical resources or oral health awareness, oral diseases
are often left unexamined and untreated, affecting a large population
worldwide. With the advent of low-cost, sensor-equipped smartphones, mobile
apps offer a promising possibility for promoting oral health. However, to the
best of our knowledge, no mobile health (mHealth) solutions can directly
support a user to self-examine their oral health condition. This paper presents
OralCam, the first interactive app that enables end-users' self-examination of
five common oral conditions (diseases or early disease signals) by taking
smartphone photos of one's oral cavity. OralCam allows a user to annotate
additional information (e.g. living habits, pain, and bleeding) to augment the
input image, and presents the output hierarchically, probabilistically and with
visual explanations to help a laymen user understand examination results.
Developed on our in-house dataset that consists of 3,182 oral photos annotated
by dental experts, our deep learning based framework achieved an average
detection sensitivity of 0.787 over five conditions with high localization
accuracy. In a week-long in-the-wild user study (N=18), most participants had
no trouble using OralCam and interpreting the examination results. Two expert
interviews further validate the feasibility of OralCam for promoting users'
awareness of oral health.",2020-01-16T02:54:47Z,http://arxiv.org/abs/2001.05621v2,oral health
"American Twitter Users Revealed Social Determinants-related Oral Health
  Disparities amid the COVID-19 Pandemic","Yangxin Fan, Hanjia Lyu, Jin Xiao, Jiebo Luo","Objectives: To assess self-reported population oral health conditions amid
COVID-19 pandemic using user reports on Twitter. Method and Material: We
collected oral health-related tweets during the COVID-19 pandemic from 9,104
Twitter users across 26 states (with sufficient samples) in the United States
between November 12, 2020 and June 14, 2021. We inferred user demographics by
leveraging the visual information from the user profile images. Other
characteristics including income, population density, poverty rate, health
insurance coverage rate, community water fluoridation rate, and relative change
in the number of daily confirmed COVID-19 cases were acquired or inferred based
on retrieved information from user profiles. We performed logistic regression
to examine whether discussions vary across user characteristics. Results:
Overall, 26.70% of the Twitter users discuss wisdom tooth pain/jaw hurt, 23.86%
tweet about dental service/cavity, 18.97% discuss chipped tooth/tooth break,
16.23% talk about dental pain, and the rest are about tooth decay/gum bleeding.
Women and younger adults (19-29) are more likely to talk about oral health
problems. Health insurance coverage rate is the most significant predictor in
logistic regression for topic prediction. Conclusion: Tweets inform social
disparities in oral health during the pandemic. For instance, people from
counties at a higher risk of COVID-19 talk more about tooth decay/gum bleeding
and chipped tooth/tooth break. Older adults, who are vulnerable to COVID-19,
are more likely to discuss dental pain. Topics of interest vary across user
characteristics. Through the lens of social media, our findings may provide
insights for oral health practitioners and policy makers.",2021-09-16T01:10:06Z,http://arxiv.org/abs/2109.07652v2,oral health
"Quantifying a qualitative framework of patients perceptions, attitudes
  and behavior relevant to oral health related quality of life","Angelo Passalacqua, Stephen Dunne, Tim J Newton, Nairn HF Wilson, Ana Nora Donaldson","In a qualitative study, Gregory, Gibson and Robinson proposed a framework of
items grouped in seven dimensions reflecting oral health related perceptions,
attitudes and behavior to encompass what is relevant when patients assess their
own oral health related quality of life (OHRQOL). The aim of this study is to
quantify the dimensions of Gregory relevance framework and confirm, or
otherwise, the influence on the change in the OHIP-14, an instrument widely
used to measure OHRQOL. The study was observational and longitudinal with the
OHIP-14 measured before a tooth extraction, and two and four weeks thereafter.
Statistical methods of analysis consisted of generalised estimating equations.
Responsiveness (or sensitivity to change) of the OHIP-14 was established in our
patient population. The dimensions of Gregory relevance framework featured
significantly in the models. Patients trust in dental products, perception of
own oral health as normal in relation to the average person, preference for
natural teeth, character bias in judgement and control by adherence to dentists
instructions, were all found to be significant factors in the longitudinal
change of the OHIP-14. Borderline significance was found in terms of dental
anxiety and symptoms. Perceptions, behaviour and attitudes, rather than
socio-demographic characteristics or oral health related knowledge, influence
change in OHRQOL. Trusting that the dentist values the patient as a person and
the importance the patient gives to having good oral health, are not found
significant, yet adhering to dentists advice has a beneficial effect on OHRQOL.",2017-12-12T16:13:49Z,http://arxiv.org/abs/1712.04784v1,oral health
"Enhancing Automated Decision Support across Medical and Oral Health
  Domains with Semantic Web Technologies","Tejal Shah, Fethi Rabhi, Pradeep Ray, Kerry Taylor","Research has shown that the general health and oral health of an individual
are closely related. Accordingly, current practice of isolating the information
base of medical and oral health domains can be dangerous and detrimental to the
health of the individual. However, technical issues such as heterogeneous data
collection and storage formats, limited sharing of patient information and lack
of decision support over the shared information are the principal reasons for
the current state of affairs. To address these issues, the following research
investigates the development and application of a cross-domain ontology and
rules to build an evidence-based and reusable knowledge base consisting of the
inter-dependent conditions from the two domains. Through example implementation
of the knowledge base in Protege, we demonstrate the effectiveness of our
approach in reasoning over and providing decision support for cross-domain
patient information.",2014-03-30T14:20:22Z,http://arxiv.org/abs/1403.7766v1,oral health
A review of dental informatics : current trends and future directions,"Prabath Jayatissa, Roshan Hewapathirane","Dental informatics is a rapidly evolving field that combines dentistry with
information technology to improve oral health care delivery, research, and
education. Electronic health records (EHRs), telehealth, digital imaging, and
other digital tools have revolutionised how dental professionals diagnose,
treat, and manage oral health conditions. In this review article, we will
explore dental informatics's current trends and future directions, focusing on
its impact on clinical practice, research, and education. We will also discuss
the challenges and opportunities associated with implementing dental
informatics and highlight fundamental research studies and innovations in the
field.",2023-06-29T11:27:38Z,http://arxiv.org/abs/2307.03686v1,oral health
Mobile Application for Oral Disease Detection using Federated Learning,"Shankara Narayanan V, Sneha Varsha M, Syed Ashfaq Ahmed, Guruprakash J","The mouth, often regarded as a window to the internal state of the body,
plays an important role in reflecting one's overall health. Poor oral hygiene
has far-reaching consequences, contributing to severe conditions like heart
disease, cancer, and diabetes, while inadequate care leads to discomfort, pain,
and costly treatments. Federated Learning (FL) for object detection can be
utilized for this use case due to the sensitivity of the oral image data of the
patients. FL ensures data privacy by storing the images used for object
detection on the local device and trains the model on the edge. The updated
weights are federated to a central server where all the collected weights are
updated via The Federated Averaging algorithm. Finally, we have developed a
mobile app named OralH which provides user-friendly solutions, allowing people
to conduct self-assessments through mouth scans and providing quick oral health
insights. Upon detection of the issues, the application alerts the user about
potential oral health concerns or diseases and provides details about dental
clinics in the user's locality. Designed as a Progressive Web Application
(PWA), the platform ensures ubiquitous access, catering to users across devices
for a seamless experience. The application aims to provide state-of-the-art
segmentation and detection techniques, leveraging the YOLOv8 object detection
model to identify oral hygiene issues and diseases. This study deals with the
benefits of leveraging FL in healthcare with promising real-world results.",2023-10-27T16:41:29Z,http://arxiv.org/abs/2403.12044v1,oral health
"Dental Severity Assessment through Few-shot Learning and SBERT
  Fine-tuning",Mohammad Dehghani,"Dental diseases have a significant impact on a considerable portion of the
population, leading to various health issues that can detrimentally affect
individuals' overall well-being. The integration of automated systems in oral
healthcare has become increasingly crucial. Machine learning approaches offer a
viable solution to address challenges such as diagnostic difficulties,
inefficiencies, and errors in oral disease diagnosis. These methods prove
particularly useful when physicians struggle to predict or diagnose diseases at
their early stages. In this study, thirteen different machine learning, deep
learning, and large language models were employed to determine the severity
level of oral health issues based on radiologists' reports. The results
revealed that the Few-shot learning with SBERT and Multi-Layer Perceptron model
outperformed all other models across various experiments, achieving an
impressive accuracy of 94.1% as the best result. Consequently, this model
exhibits promise as a reliable tool for evaluating the severity of oral
diseases, enabling patients to receive more effective treatment and aiding
healthcare professionals in making informed decisions regarding resource
allocation and the management of high-risk patients.",2024-02-24T08:02:19Z,http://arxiv.org/abs/2402.15755v2,oral health
The oral tolerance as a complex network phenomenon,"Pedro J. Miranda, Murilo Delgobo, Giovanni M. Favero, Kátia S. Paludo, Murilo S. Baptista, Sandro E. de S. Pinto","The phenomenon of oral tolerance refers to a local and systemic state of
tolerance, induced in the gut associated lymphoid tissues, after its exposure
to innocuous antigens, such as food proteins. While recent findings shed light
in the cellular and molecular basis of oral tolerance, the network of
interactions between the components mediating oral tolerance has not been
investigated yet. Our work brings a complex systems theory approach, aiming to
identify the contribution of each element in an oral tolerance network. We also
propose a model that allows dynamical plus topological quantifying which must
encompass functional responses as the local host involved on the oral
tolerance. To keep track of reality of our model, we test knockout (KO) of
immunological components (i. e. silencing a vertex) and see how it diverges
when the system is topologically health. The results from these simulated KO's
are then compared to real molecular knock-outs. To infer from these processing
we apply a new implementation of a random walk algorithm for directed graphs,
which ultimately generate statistical quantities provided by the dynamical
behaviour of the simulated KO's. It was observed that the a specifics KO caused
the greatest impact on network standard flux. In a brief analysis, the results
obtained correspond to biological data. Our model addresses both topological
proprieties and dynamical relations. The construction of a qualitative dynamic
model for oral tolerance could reflect empirical observations, through the
standard flux results and relative error based on individual knockout.",2013-11-13T18:16:28Z,http://arxiv.org/abs/1311.3237v1,oral health
"Automated Process Incorporating Machine Learning Segmentation and
  Correlation of Oral Diseases with Systemic Health","Gregory Yauney, Aman Rana, Lawrence C. Wong, Perikumar Javia, Ali Muftu, Pratik Shah","Imaging fluorescent disease biomarkers in tissues and skin is a non-invasive
method to screen for health conditions. We report an automated process that
combines intraoral fluorescent porphyrin biomarker imaging, clinical
examinations and machine learning for correlation of systemic health conditions
with periodontal disease. 1215 intraoral fluorescent images, from 284
consenting adults aged 18-90, were analyzed using a machine learning classifier
that can segment periodontal inflammation. The classifier achieved an AUC of
0.677 with precision and recall of 0.271 and 0.429, respectively, indicating a
learned association between disease signatures in collected images. Periodontal
diseases were more prevalent among males (p=0.0012) and older subjects
(p=0.0224) in the screened population. Physicians independently examined the
collected images, assigning localized modified gingival indices (MGIs). MGIs
and periodontal disease were then cross-correlated with responses to a medical
history questionnaire, blood pressure and body mass index measurements, and
optic nerve, tympanic membrane, neurological, and cardiac rhythm imaging
examinations. Gingivitis and early periodontal disease were associated with
subjects diagnosed with optic nerve abnormalities (p <0.0001) in their retinal
scans. We also report significant co-occurrences of periodontal disease in
subjects reporting swollen joints (p=0.0422) and a family history of eye
disease (p=0.0337). These results indicate cross-correlation of poor
periodontal health with systemic health outcomes and stress the importance of
oral health screenings at the primary care level. Our screening process and
analysis method, using images and machine learning, can be generalized for
automated diagnoses and systemic health screenings for other diseases.",2018-10-25T00:42:20Z,http://arxiv.org/abs/1810.10664v1,oral health
"Reward Design For An Online Reinforcement Learning Algorithm Supporting
  Oral Self-Care","Anna L. Trella, Kelly W. Zhang, Inbal Nahum-Shani, Vivek Shetty, Finale Doshi-Velez, Susan A. Murphy","Dental disease is one of the most common chronic diseases despite being
largely preventable. However, professional advice on optimal oral hygiene
practices is often forgotten or abandoned by patients. Therefore patients may
benefit from timely and personalized encouragement to engage in oral self-care
behaviors. In this paper, we develop an online reinforcement learning (RL)
algorithm for use in optimizing the delivery of mobile-based prompts to
encourage oral hygiene behaviors. One of the main challenges in developing such
an algorithm is ensuring that the algorithm considers the impact of the current
action on the effectiveness of future actions (i.e., delayed effects),
especially when the algorithm has been made simple in order to run stably and
autonomously in a constrained, real-world setting (i.e., highly noisy, sparse
data). We address this challenge by designing a quality reward which maximizes
the desired health outcome (i.e., high-quality brushing) while minimizing user
burden. We also highlight a procedure for optimizing the hyperparameters of the
reward by building a simulation environment test bed and evaluating candidates
using the test bed. The RL algorithm discussed in this paper will be deployed
in Oralytics, an oral self-care app that provides behavioral strategies to
boost patient engagement in oral hygiene practices.",2022-08-15T18:47:09Z,http://arxiv.org/abs/2208.07406v3,oral health
