title,authors,summary,published,link,keyword_used
Computational Orthodontic Force Simulation: A Review,"Waheed Ahmad, Jing Xiong, Zeyang Xia","In orthodontic treatment, the biological response of the tooth, periodontal
ligament, and bone complex to orthodontic force is crucial in influencing
treatment outcomes. The challenge lies in accurately measuring, estimating, and
predicting these forces during clinical procedures. This review aims to fill
the gap in the literature by systematically summarizing existing research on
orthodontic force simulation, examining common loading techniques and
technologies, and discussing the potential for refining the orthodontic force
simulation process. The literature was comprehensively reviewed, with an
emphasis on the exploration of the biological mechanism of tooth movement.
Studies were categorized based on force-loading techniques for both fixed and
invisible orthodontic appliances. Finite element (FE) analysis stands out as
the predominant technique for orthodontic force simulation, with a significant
focus on fixed orthodontics but limited emphasis on invisible orthodontics.
Current orthodontic force simulations tend to be fragmented, often considering
only the instantaneous response to applied forces. There exists an urgent
demand for a sophisticated analytical simulation model. Such a model, possibly
leveraging advanced technologies like deep learning, holds the promise of
forecasting orthodontic treatment outcomes with heightened precision and
efficiency.",2025-03-31T15:13:36Z,http://arxiv.org/abs/2503.24195v1,orthodontics
3D Structure-guided Network for Tooth Alignment in 2D Photograph,"Yulong Dou, Lanzhuju Mei, Dinggang Shen, Zhiming Cui","Orthodontics focuses on rectifying misaligned teeth (i.e., malocclusions),
affecting both masticatory function and aesthetics. However, orthodontic
treatment often involves complex, lengthy procedures. As such, generating a 2D
photograph depicting aligned teeth prior to orthodontic treatment is crucial
for effective dentist-patient communication and, more importantly, for
encouraging patients to accept orthodontic intervention. In this paper, we
propose a 3D structure-guided tooth alignment network that takes 2D photographs
as input (e.g., photos captured by smartphones) and aligns the teeth within the
2D image space to generate an orthodontic comparison photograph featuring
aesthetically pleasing, aligned teeth. Notably, while the process operates
within a 2D image space, our method employs 3D intra-oral scanning models
collected in clinics to learn about orthodontic treatment, i.e., projecting the
pre- and post-orthodontic 3D tooth structures onto 2D tooth contours, followed
by a diffusion model to learn the mapping relationship. Ultimately, the aligned
tooth contours are leveraged to guide the generation of a 2D photograph with
aesthetically pleasing, aligned teeth and realistic textures. We evaluate our
network on various facial photographs, demonstrating its exceptional
performance and strong applicability within the orthodontic industry.",2023-10-17T09:44:30Z,http://arxiv.org/abs/2310.11106v2,orthodontics
Convolutional Neural Networks in Orthodontics: a review,"Szymon Płotka, Tomasz Włodarczyk, Ryszard Szczerba, Przemysław Rokita, Patrycja Bartkowska, Oskar Komisarek, Artur Matthews-Brzozowski, Tomasz Trzciński","Convolutional neural networks (CNNs) are used in many areas of computer
vision, such as object tracking and recognition, security, military, and
biomedical image analysis. This review presents the application of
convolutional neural networks in one of the fields of dentistry - orthodontics.
Advances in medical imaging technologies and methods allow CNNs to be used in
orthodontics to shorten the planning time of orthodontic treatment, including
an automatic search of landmarks on cephalometric X-ray images, tooth
segmentation on Cone-Beam Computed Tomography (CBCT) images or digital models,
and classification of defects on X-Ray panoramic images. In this work, we
describe the current methods, the architectures of deep convolutional neural
networks used, and their implementations, together with a comparison of the
results achieved by them. The promising results and visualizations of the
described studies show that the use of methods based on convolutional neural
networks allows for the improvement of computer-based orthodontic treatment
planning, both by reducing the examination time and, in many cases, by
performing the analysis much more accurately than a manual orthodontist does.",2021-04-18T16:02:30Z,http://arxiv.org/abs/2104.08886v1,orthodontics
"The management of obstructive sleep apnea accompanied with mandibular
  retrognathia across the lifespan from orthodontic perspective","Menghan Zhang, Yuehua Liu","Obstructive sleep apnea (OSA) is a complex disease with complex etiology,
which requires multidisciplinary cooperation in diagnosis and treatment.
Mandibular retrognathia is strongly associated with OSA. Orthodontists can
either correct the mandibular retrognathia of pediatric OSA via various kinds
of orthodontic appliances, following adenoidectomy and tonsillectomy, or
enlarge upper airway by mandibular advancement device (MAD) through
repositioning the mandible and tongue of adult OSA patients. This mini review
was to investigate the therapy of MAD to adult OSA as well as orthodontic
treatment to pediatric OSA.",2023-11-02T15:36:08Z,http://arxiv.org/abs/2311.01324v1,orthodontics
"OrthoGAN:High-Precision Image Generation for Teeth Orthodontic
  Visualization","Feihong Shen, JIngjing Liu, Jianwen Lou, Haizhen Li, Bing Fang, Chenglong Ma, Jin Hao, Yang Feng, Youyi Zheng","Patients take care of what their teeth will be like after the orthodontics.
Orthodontists usually describe the expectation movement based on the original
smile images, which is unconvincing. The growth of deep-learning generative
models change this situation. It can visualize the outcome of orthodontic
treatment and help patients foresee their future teeth and facial appearance.
While previous studies mainly focus on 2D or 3D virtual treatment outcome (VTO)
at a profile level, the problem of simulating treatment outcome at a frontal
facial image is poorly explored. In this paper, we build an efficient and
accurate system for simulating virtual teeth alignment effects in a frontal
facial image. Our system takes a frontal face image of a patient with visible
malpositioned teeth and the patient's 3D scanned teeth model as input, and
progressively generates the visual results of the patient's teeth given the
specific orthodontics planning steps from the doctor (i.e., the specification
of translations and rotations of individual tooth). We design a multi-modal
encoder-decoder based generative model to synthesize identity-preserving
frontal facial images with aligned teeth. In addition, the original image color
information is used to optimize the orthodontic outcomes, making the results
more natural. We conduct extensive qualitative and clinical experiments and
also a pilot study to validate our method.",2022-12-29T03:12:47Z,http://arxiv.org/abs/2212.14162v2,orthodontics
"Using Natural Language Processing to Develop an Automated Orthodontic
  Diagnostic System","Tomoyuki Kajiwara, Chihiro Tanikawa, Yuujin Shimizu, Chenhui Chu, Takashi Yamashiro, Hajime Nagahara","We work on the task of automatically designing a treatment plan from the
findings included in the medical certificate written by the dentist. To develop
an artificial intelligence system that deals with free-form certificates
written by dentists, we annotate the findings and utilized the natural language
processing approach. As a result of the experiment using 990 certificates,
0.585 F1-score was achieved for the task of extracting orthodontic problems
from findings, and 0.584 correlation coefficient with the human ranking was
achieved for the treatment prioritization task.",2019-05-31T13:13:51Z,http://arxiv.org/abs/1905.13601v1,orthodontics
"CephGPT-4: An Interactive Multimodal Cephalometric Measurement and
  Diagnostic System with Visual Large Language Model","Lei Ma, Jincong Han, Zhaoxin Wang, Dian Zhang","Large-scale multimodal language models (LMMs) have achieved remarkable
success in general domains. However, the exploration of diagnostic language
models based on multimodal cephalometric medical data remains limited. In this
paper, we propose a novel multimodal cephalometric analysis and diagnostic
dialogue model. Firstly, a multimodal orthodontic medical dataset is
constructed, comprising cephalometric images and doctor-patient dialogue data,
with automatic analysis of cephalometric landmarks using U-net and generation
of diagnostic reports. Then, the cephalometric dataset and generated diagnostic
reports are separately fine-tuned on Minigpt-4 and VisualGLM. Results
demonstrate that the CephGPT-4 model exhibits excellent performance and has the
potential to revolutionize orthodontic measurement and diagnostic applications.
These innovations hold revolutionary application potential in the field of
orthodontics.",2023-07-01T15:41:12Z,http://arxiv.org/abs/2307.07518v1,orthodontics
"Aligner-induced tooth movements in three dimensions using clinical data
  of two patients","Ignacio Filippon, Christine Tanner, Jeannette A. von Jackowski, Georg Schulz, Tino Töpper, Bert Müller","The effectiveness of a series of optically transparent aligners for
orthodontic treatments depends on the anchoring of each tooth. In contrast with
roots, the crowns' positions and orientations are measurable with intraoral
scans, thus avoiding any X-ray dose. Exemplified by two patients, we
demonstrate that three-dimensional crown movements could be determined with
micrometer precision by registering weekly intraoral scans. The data show the
movement and orientation changes of the individual crowns of the upper and
lower jaws as the result of the forces generated by the series of aligners.
During the first weeks, the canines and incisors were more affected than the
premolars and molars. We detected an overall tooth movement of up to about 1 mm
during a nine-week treatment. The data on these orthodontic treatments indicate
the extent to which actual tooth movement lags behind the treatment plan as
represented by the aligner shapes. The proposed procedure can not only be used
to quantify the clinical outcome of the therapy, but also to improve future
planning of orthodontic treatments for each specific patient. The study should
be treated with caution because only two cases have been investigated and the
approach should be applied to a reasonably large cohort to reach strong
conclusions regarding efficiency and efficacy of the therapeutic approach.",2024-05-16T20:31:45Z,http://arxiv.org/abs/2405.10433v2,orthodontics
"Transformer-Based Tooth Alignment Prediction With Occlusion And
  Collision Constraints","ZhenXing Dong, JiaZhou Chen, YangHui Xu","The planning of digital orthodontic treatment requires providing tooth
alignment, which not only consumes a lot of time and labor to determine
manually but also relays clinical experiences heavily. In this work, we
proposed a lightweight tooth alignment neural network based on
Swin-transformer. We first re-organized 3D point clouds based on virtual arch
lines and converted them into order-sorted multi-channel textures, which
improves the accuracy and efficiency simultaneously. We then designed two new
occlusal loss functions that quantitatively evaluate the occlusal relationship
between the upper and lower jaws. They are important clinical constraints,
first introduced to the best of our knowledge, and lead to cutting-edge
prediction accuracy. To train our network, we collected a large digital
orthodontic dataset that has 591 clinical cases, including various complex
clinical cases. This dataset will benefit the community after its release since
there is no open dataset so far. Furthermore, we also proposed two new
orthodontic dataset augmentation methods considering tooth spatial distribution
and occlusion. We evaluated our method with this dataset and extensive
experiments, including comparisons with STAT methods and ablation studies, and
demonstrate the high prediction accuracy of our method.",2024-10-28T07:54:07Z,http://arxiv.org/abs/2410.20806v3,orthodontics
Automatic Recognition of Landmarks on Digital Dental Models,"Brénainn Woodsend, Eirini Koufoudaki, Peter A. Mossey, Ping Lin","Fundamental to improving Dental and Orthodontic treatments is the ability to
quantitatively assess and cross-compare their outcomes. Such assessments
require calculating distances and angles from 3D coordinates of dental
landmarks. The costly and repetitive task of hand-labelling dental models
impedes studies requiring large sample size to penetrate statistical noise. We
have developed techniques and software implementing these techniques to map out
automatically, 3D dental scans. This process is divided into consecutive steps
- determining a model's orientation, separating and identifying the individual
tooth and finding landmarks on each tooth - described in this paper. Examples
to demonstrate techniques and the software and discussions on remaining issues
are provided as well. The software is originally designed to automate Modified
Huddard Bodemham (MHB) landmarking for assessing cleft lip/palate patients.
Currently only MHB landmarks are supported, but is extendable to any
predetermined landmarks. This software, coupled with intra-oral scanning
innovation, should supersede the arduous and error prone plaster model and
caliper approach to Dental research and provide a stepping-stone towards
automation of routine clinical assessments such as ""index of orthodontic
treatment need"" (IOTN).",2020-12-23T20:14:00Z,http://arxiv.org/abs/2012.12946v1,orthodontics
