title,authors,summary,published,link,keyword_used
"Tissue Engineering for Periodontal Ligament Regeneration: Biomechanical
  Specifications","R. Gauthier, Christophe Jeannin, N. Attik, Ana-Maria Trunfio-Sfarghiu, K. Gritsch, B. Grosgogeat","The periodontal biomechanical environment is very difficult to investigate.
By the complex geometry and composition of the periodontal ligament, its
mechanical behavior is very dependent on the type of loading (compressive vs.
tensile loading; static vs. cyclic loading; uniaxial vs. multiaxial) and the
location around the root (cervical, middle, or apical). These different aspects
of the periodontal ligament make it difficult to develop a functional
biomaterial to treat periodontal attachment due to periodontal diseases. This
review aims to describe the structural and biomechanical properties of the
periodontal ligament. Particular importance is placed in the close
interrelationship that exists between structure and biomechanics: the
periodontal ligament structural organization is specific to its biomechanical
environment, and its biomechanical properties are specific to its structural
arrangement. This balance between structure and biomechanics can be explained
by a mechanosensitive periodontal cellular activity. These specifications have
to be considered in the further tissue engineering strategies for the
development of an efficient biomaterial for periodontal tissues regeneration.",2020-12-29T09:43:52Z,http://arxiv.org/abs/2012.14683v1,periodontitis
"Relationship between Periodontal disease and Asthma among
  overweight/obese adults","Roberto Rivera, Oelisoa M. Andriankaja, Cynthia M. Perez, Kaumudi Joshipura","Aim: To assess the relationship between oral health and asthma. Methods: Data
from 1,315 overweight or obese individuals, aged 40-65 years was used. Asthma
was self-reported, while periodontitis, bleeding on probing (BOP), and plaque
index were determined by clinical examinations. Results: Using logistic
regression adjusting for gender, smoking status, age, body mass index, family
history of asthma, and income level, revealed that the odds ratio (OR) of
asthma for a participant with severe periodontitis was 0.44 (95% confidence
interval: 0.27, 0.70) that of a participant with none/mild periodontitis . On
the other hand, proportion of BOP sites, and plaque index were not
statistically significant. For a participant with severe periodontitis, the OR
of taking asthma medication was 0.20 (95% confidence interval: 0.09, 0.43) that
of a participant with none/mild periodontitis. Moreover, proportion of BOP
sites was statistically associated to use of asthma medication while plaque
index still remained non-significant. Conclusion: Participants with severe
periodontitis were less likely to have asthma. Stronger evidence of an inverse
association was found when using asthma medication as outcome. Keywords:
asthma; periodontal disease; asthma medication; periodontitis; hygiene
hypothesis",2016-05-07T01:38:27Z,http://arxiv.org/abs/1606.00261v1,periodontitis
"An End-to-end Entangled Segmentation and Classification Convolutional
  Neural Network for Periodontitis Stage Grading from Periapical Radiographic
  Images","Tanjida Kabir, Chun-Teh Lee, Jiman Nelson, Sally Sheng, Hsiu-Wan Meng, Luyao Chen, Muhammad F Walji, Xioaqian Jiang, Shayan Shams","Periodontitis is a biofilm-related chronic inflammatory disease characterized
by gingivitis and bone loss in the teeth area. Approximately 61 million adults
over 30 suffer from periodontitis (42.2%), with 7.8% having severe
periodontitis in the United States. The measurement of radiographic bone loss
(RBL) is necessary to make a correct periodontal diagnosis, especially if the
comprehensive and longitudinal periodontal mapping is unavailable. However,
doctors can interpret X-rays differently depending on their experience and
knowledge. Computerized diagnosis support for doctors sheds light on making the
diagnosis with high accuracy and consistency and drawing up an appropriate
treatment plan for preventing or controlling periodontitis. We developed an
end-to-end deep learning network HYNETS (Hybrid NETwork for pEriodoNTiTiS
STagES from radiograpH) by integrating segmentation and classification tasks
for grading periodontitis from periapical radiographic images. HYNETS leverages
a multi-task learning strategy by combining a set of segmentation networks and
a classification network to provide an end-to-end interpretable solution and
highly accurate and consistent results. HYNETS achieved the average dice
coefficient of 0.96 and 0.94 for the bone area and tooth segmentation and the
average AUC of 0.97 for periodontitis stage assignment. Additionally,
conventional image processing techniques provide RBL measurements and build
transparency and trust in the model's prediction. HYNETS will potentially
transform clinical diagnosis from a manual time-consuming, and error-prone task
to an efficient and automated periodontitis stage assignment based on
periapical radiographic images.",2021-09-27T15:28:54Z,http://arxiv.org/abs/2109.13120v1,periodontitis
"A semi-parametric Bayesian model of inter- and intra-examiner agreement
  for periodontal probing depth","E. G. Hill, E. H. Slate","Periodontal probing depth is a measure of periodontitis severity. We develop
a Bayesian hierarchical model linking true pocket depth to both observed and
recorded values of periodontal probing depth, while permitting correlation
among measures obtained from the same mouth and between duplicate examiners'
measures obtained at the same periodontal site. Periodontal site-specific
examiner effects are modeled as arising from a Dirichlet process mixture,
facilitating identification of classes of sites that are measured with similar
bias. Using simulated data, we demonstrate the model's ability to recover
examiner site-specific bias and variance heterogeneity and to provide
cluster-adjusted point and interval agreement estimates. We conclude with an
analysis of data from a probing depth calibration training exercise.",2014-04-29T10:08:34Z,http://arxiv.org/abs/1404.7295v1,periodontitis
"Periodontitis and preeclampsia in pregnancy: A systematic review and
  meta-analysis","Quynh-Anh Le, Rahena Akhter, Kimberly M. Coulton, Ngoc T. N Vo, Le T. Y Duong, Hoang V. Nong, Albert Yaacoub, George Condous, Joerg Eberhard, Ralph Nanan","Objectives: A conflicting body of evidence suggests localized periodontal
inflammation to spread systemically during pregnancy inducing adverse pregnancy
outcomes. This systematic review and meta-analysis aimed to specifically
evaluate the relationship between periodontitis and preeclampsia. Methods:
Electronic searches were carried out in Medline, Pubmed, Cochrane Controlled
Clinical Trial Register to identify and select observational case-control and
cohort studies that analyzed the association between periodontal disease and
preeclampsia. Prisma guidelines and Moose checklist were followed. Results:
Thirty studies including six cohorts and twenty-four case-control studies were
selected. Periodontitis was significantly associated with increased risk for
preeclampsia, especially in a subgroup analysis including cohort studies and
subgroup analysis with lower-middle-income countries. Conclusion: Periodontitis
appears as a significant risk factor for preeclampsia, which might be even more
pronounced in lower-middle-income countries.",2021-08-09T23:48:41Z,http://arxiv.org/abs/2108.05186v1,periodontitis
"Automated Process Incorporating Machine Learning Segmentation and
  Correlation of Oral Diseases with Systemic Health","Gregory Yauney, Aman Rana, Lawrence C. Wong, Perikumar Javia, Ali Muftu, Pratik Shah","Imaging fluorescent disease biomarkers in tissues and skin is a non-invasive
method to screen for health conditions. We report an automated process that
combines intraoral fluorescent porphyrin biomarker imaging, clinical
examinations and machine learning for correlation of systemic health conditions
with periodontal disease. 1215 intraoral fluorescent images, from 284
consenting adults aged 18-90, were analyzed using a machine learning classifier
that can segment periodontal inflammation. The classifier achieved an AUC of
0.677 with precision and recall of 0.271 and 0.429, respectively, indicating a
learned association between disease signatures in collected images. Periodontal
diseases were more prevalent among males (p=0.0012) and older subjects
(p=0.0224) in the screened population. Physicians independently examined the
collected images, assigning localized modified gingival indices (MGIs). MGIs
and periodontal disease were then cross-correlated with responses to a medical
history questionnaire, blood pressure and body mass index measurements, and
optic nerve, tympanic membrane, neurological, and cardiac rhythm imaging
examinations. Gingivitis and early periodontal disease were associated with
subjects diagnosed with optic nerve abnormalities (p <0.0001) in their retinal
scans. We also report significant co-occurrences of periodontal disease in
subjects reporting swollen joints (p=0.0422) and a family history of eye
disease (p=0.0337). These results indicate cross-correlation of poor
periodontal health with systemic health outcomes and stress the importance of
oral health screenings at the primary care level. Our screening process and
analysis method, using images and machine learning, can be generalized for
automated diagnoses and systemic health screenings for other diseases.",2018-10-25T00:42:20Z,http://arxiv.org/abs/1810.10664v1,periodontitis
Numerical simulation of the stress-strain state of the dental system,"Sergey V. Lemeshevsky, Semion A. Naumovich, Sergey S. Naumovich, Petr N. Vabishchevich, Petr E. Zakharov","We present mathematical models, computational algorithms and software, which
can be used for prediction of results of prosthetic treatment. More interest
issue is biomechanics of the periodontal complex because any prosthesis is
accompanied by a risk of overloading the supporting elements. Such risk can be
avoided by the proper load distribution and prediction of stresses that occur
during the use of dentures. We developed the mathematical model of the
periodontal complex and its software implementation. This model is based on
linear elasticity theory and allows to calculate the stress and strain fields
in periodontal ligament and jawbone. The input parameters for the developed
model can be divided into two groups. The first group of parameters describes
the mechanical properties of periodontal ligament, teeth and jawbone (for
example, elasticity of periodontal ligament etc.). The second group
characterized the geometric properties of objects: the size of the teeth, their
spatial coordinates, the size of periodontal ligament etc. The mechanical
properties are the same for almost all, but the input of geometrical data is
complicated because of their individual characteristics. In this connection, we
develop algorithms and software for processing of images obtained by computed
tomography (CT) scanner and for constructing individual digital model of the
tooth-periodontal ligament-jawbone system of the patient. Integration of models
and algorithms described allows to carry out biomechanical analysis on
three-dimensional digital model and to select prosthesis design.",2015-09-17T11:19:42Z,http://arxiv.org/abs/1509.05208v1,periodontitis
"Unraveling the Link between Periodontitis and Inflammatory Bowel
  Disease: Challenges and Outlook","Himanshi Tanwar, Jeba Mercy Gnanasekaran, Devon Allison, Ling-shiang Chuang, Xuesong He, Mario Aimetti, Giacomo Baima, Massimo Costalonga, Raymond K. Cross, Cynthia Sears, Saurabh Mehandru, Judy Cho, Jean-Frederic Colombel, Jean-Pierre Raufman, Vivek Thumbigere-Math","Periodontitis and Inflammatory Bowel Disease (IBD) are chronic inflammatory
conditions, characterized by microbial dysbiosis and hyper-immunoinflammatory
responses. Growing evidence suggest an interconnection between periodontitis
and IBD, implying a shift from the traditional concept of independent diseases
to a complex, reciprocal cycle. This review outlines the evidence supporting an
Oral-Gut axis, marked by a higher prevalence of periodontitis in IBD patients
and vice versa. The specific mechanisms linking periodontitis and IBD remain to
be fully elucidated, but emerging evidence points to the ectopic colonization
of the gut by oral bacteria, which promote intestinal inflammation by
activating host immune responses. This review presents an in-depth examination
of the interconnection between periodontitis and IBD, highlighting the shared
microbiological and immunological pathways, and proposing a multi-hit
hypothesis in the pathogenesis of periodontitis-mediated intestinal
inflammation. Furthermore, the review underscores the critical need for a
collaborative approach between dentists and gastroenterologists to provide
holistic oral-systemic healthcare.",2023-08-19T18:59:42Z,http://arxiv.org/abs/2308.10907v1,periodontitis
"SMARTp: A SMART design for non-surgical treatments of chronic
  periodontitis with spatially-referenced and non-randomly missing skewed
  outcomes","Jing Xu, Dipankar Bandyopadhyay, Sedigheh Mirzaei, Bryan Michalowicz, Bibhas Chakraaborty","This paper proposes dynamic treatment regimes for choosing individualized
effective treatment strategies of chronic periodontal disease. R codes for
implementing the proposed sample size formula are available in GitHub.",2019-02-25T15:51:21Z,http://arxiv.org/abs/1902.09386v1,periodontitis
A latent factor model for spatial data with informative missingness,"Brian J. Reich, Dipankar Bandyopadhyay","A large amount of data is typically collected during a periodontal exam.
Analyzing these data poses several challenges. Several types of measurements
are taken at many locations throughout the mouth. These spatially-referenced
data are a mix of binary and continuous responses, making joint modeling
difficult. Also, most patients have missing teeth. Periodontal disease is a
leading cause of tooth loss, so it is likely that the number and location of
missing teeth informs about the patient's periodontal health. In this paper we
develop a multivariate spatial framework for these data which jointly models
the binary and continuous responses as a function of a single latent spatial
process representing general periodontal health. We also use the latent spatial
process to model the location of missing teeth. We show using simulated and
real data that exploiting spatial associations and jointly modeling the
responses and locations of missing teeth mitigates the problems presented by
these data.",2010-10-07T13:37:28Z,http://arxiv.org/abs/1010.1430v1,periodontitis
