title,authors,summary,published,link,keyword_used
"Tooth Instance Segmentation from Cone-Beam CT Images through Point-based
  Detection and Gaussian Disentanglement","Jusang Lee, Minyoung Chung, Minkyung Lee, Yeong-Gil Shin","Individual tooth segmentation and identification from cone-beam computed
tomography images are preoperative prerequisites for orthodontic treatments.
Instance segmentation methods using convolutional neural networks have
demonstrated ground-breaking results on individual tooth segmentation tasks,
and are used in various medical imaging applications. While point-based
detection networks achieve superior results on dental images, it is still a
challenging task to distinguish adjacent teeth because of their similar
topologies and proximate nature. In this study, we propose a point-based tooth
localization network that effectively disentangles each individual tooth based
on a Gaussian disentanglement objective function. The proposed network first
performs heatmap regression accompanied by box regression for all the
anatomical teeth. A novel Gaussian disentanglement penalty is employed by
minimizing the sum of the pixel-wise multiplication of the heatmaps for all
adjacent teeth pairs. Subsequently, individual tooth segmentation is performed
by converting a pixel-wise labeling task to a distance map regression task to
minimize false positives in adjacent regions of the teeth. Experimental results
demonstrate that the proposed algorithm outperforms state-of-the-art approaches
by increasing the average precision of detection by 9.1%, which results in a
high performance in terms of individual tooth segmentation. The primary
significance of the proposed method is two-fold: 1) the introduction of a
point-based tooth detection framework that does not require additional
classification and 2) the design of a novel loss function that effectively
separates Gaussian distributions based on heatmap responses in the point-based
detection framework.",2021-02-02T05:15:50Z,http://arxiv.org/abs/2102.01315v1,tooth loss
"Weakly Supervised Object Detection for Automatic Tooth-marked Tongue
  Recognition","Yongcun Zhang, Jiajun Xu, Yina He, Shaozi Li, Zhiming Luo, Huangwei Lei","Tongue diagnosis in Traditional Chinese Medicine (TCM) is a crucial
diagnostic method that can reflect an individual's health status. Traditional
methods for identifying tooth-marked tongues are subjective and inconsistent
because they rely on practitioner experience. We propose a novel fully
automated Weakly Supervised method using Vision transformer and Multiple
instance learning WSVM for tongue extraction and tooth-marked tongue
recognition. Our approach first accurately detects and extracts the tongue
region from clinical images, removing any irrelevant background information.
Then, we implement an end-to-end weakly supervised object detection method. We
utilize Vision Transformer (ViT) to process tongue images in patches and employ
multiple instance loss to identify tooth-marked regions with only image-level
annotations. WSVM achieves high accuracy in tooth-marked tongue classification,
and visualization experiments demonstrate its effectiveness in pinpointing
these regions. This automated approach enhances the objectivity and accuracy of
tooth-marked tongue diagnosis. It provides significant clinical value by
assisting TCM practitioners in making precise diagnoses and treatment
recommendations. Code is available at https://github.com/yc-zh/WSVM.",2024-08-29T11:31:28Z,http://arxiv.org/abs/2408.16451v1,tooth loss
"GT U-Net: A U-Net Like Group Transformer Network for Tooth Root
  Segmentation","Yunxiang Li, Shuai Wang, Jun Wang, Guodong Zeng, Wenjun Liu, Qianni Zhang, Qun Jin, Yaqi Wang","To achieve an accurate assessment of root canal therapy, a fundamental step
is to perform tooth root segmentation on oral X-ray images, in that the
position of tooth root boundary is significant anatomy information in root
canal therapy evaluation. However, the fuzzy boundary makes the tooth root
segmentation very challenging. In this paper, we propose a novel end-to-end
U-Net like Group Transformer Network (GT U-Net) for the tooth root
segmentation. The proposed network retains the essential structure of U-Net but
each of the encoders and decoders is replaced by a group Transformer, which
significantly reduces the computational cost of traditional Transformer
architectures by using the grouping structure and the bottleneck structure. In
addition, the proposed GT U-Net is composed of a hybrid structure of
convolution and Transformer, which makes it independent of pre-training
weights. For optimization, we also propose a shape-sensitive Fourier Descriptor
(FD) loss function to make use of shape prior knowledge. Experimental results
show that our proposed network achieves the state-of-the-art performance on our
collected tooth root segmentation dataset and the public retina dataset DRIVE.
Code has been released at https://github.com/Kent0n-Li/GT-U-Net.",2021-09-30T02:39:07Z,http://arxiv.org/abs/2109.14813v1,tooth loss
"TFormer: 3D Tooth Segmentation in Mesh Scans with Geometry Guided
  Transformer","Huimin Xiong, Kunle Li, Kaiyuan Tan, Yang Feng, Joey Tianyi Zhou, Jin Hao, Zuozhu Liu","Optical Intra-oral Scanners (IOS) are widely used in digital dentistry,
providing 3-Dimensional (3D) and high-resolution geometrical information of
dental crowns and the gingiva. Accurate 3D tooth segmentation, which aims to
precisely delineate the tooth and gingiva instances in IOS, plays a critical
role in a variety of dental applications. However, segmentation performance of
previous methods are error-prone in complicated tooth-tooth or tooth-gingiva
boundaries, and usually exhibit unsatisfactory results across various patients,
yet the clinically applicability is not verified with large-scale dataset. In
this paper, we propose a novel method based on 3D transformer architectures
that is evaluated with large-scale and high-resolution 3D IOS datasets. Our
method, termed TFormer, captures both local and global dependencies among
different teeth to distinguish various types of teeth with divergent anatomical
structures and confusing boundaries. Moreover, we design a geometry guided loss
based on a novel point curvature to exploit boundary geometric features, which
helps refine the boundary predictions for more accurate and smooth
segmentation. We further employ a multi-task learning scheme, where an
additional teeth-gingiva segmentation head is introduced to improve the
performance. Extensive experimental results in a large-scale dataset with
16,000 IOS, the largest IOS dataset to our best knowledge, demonstrate that our
TFormer can surpass existing state-of-the-art baselines with a large margin,
with its utility in real-world scenarios verified by a clinical applicability
test.",2022-10-29T15:20:54Z,http://arxiv.org/abs/2210.16627v1,tooth loss
"Differentiable Collision-Supervised Tooth Arrangement Network with a
  Decoupling Perspective","Zhihui He, Chengyuan Wang, Shidong Yang, Li Chen, Yanheng Zhou, Shuo Wang","Tooth arrangement is an essential step in the digital orthodontic planning
process. Existing learning-based methods use hidden teeth features to directly
regress teeth motions, which couples target pose perception and motion
regression. It could lead to poor perceptions of three-dimensional
transformation. They also ignore the possible overlaps or gaps between teeth of
predicted dentition, which is generally unacceptable. Therefore, we propose
DTAN, a differentiable collision-supervised tooth arrangement network,
decoupling predicting tasks and feature modeling. DTAN decouples the tooth
arrangement task by first predicting the hidden features of the final teeth
poses and then using them to assist in regressing the motions between the
beginning and target teeth. To learn the hidden features better, DTAN also
decouples the teeth-hidden features into geometric and positional features,
which are further supervised by feature consistency constraints. Furthermore,
we propose a novel differentiable collision loss function for point cloud data
to constrain the related gestures between teeth, which can be easily extended
to other 3D point cloud tasks. We propose an arch-width guided tooth
arrangement network, named C-DTAN, to make the results controllable. We
construct three different tooth arrangement datasets and achieve drastically
improved performance on accuracy and speed compared with existing methods.",2024-09-18T12:52:54Z,http://arxiv.org/abs/2409.11937v1,tooth loss
ToothSegNet: Image Degradation meets Tooth Segmentation in CBCT Images,"Jiaxiang Liu, Tianxiang Hu, Yang Feng, Wanghui Ding, Zuozhu Liu","In computer-assisted orthodontics, three-dimensional tooth models are
required for many medical treatments. Tooth segmentation from cone-beam
computed tomography (CBCT) images is a crucial step in constructing the models.
However, CBCT image quality problems such as metal artifacts and blurring
caused by shooting equipment and patients' dental conditions make the
segmentation difficult. In this paper, we propose ToothSegNet, a new framework
which acquaints the segmentation model with generated degraded images during
training. ToothSegNet merges the information of high and low quality images
from the designed degradation simulation module using channel-wise cross fusion
to reduce the semantic gap between encoder and decoder, and also refines the
shape of tooth prediction through a structural constraint loss. Experimental
results suggest that ToothSegNet produces more precise segmentation and
outperforms the state-of-the-art medical image segmentation methods.",2023-07-05T01:41:24Z,http://arxiv.org/abs/2307.01979v1,tooth loss
"Accurate 3D Prediction of Missing Teeth in Diverse Patterns for Precise
  Dental Implant Planning","Lei Ma, Peng Xue, Yuning Gu, Yue Zhao, Min Zhu, Zhongxiang Ding, Dinggang Shen","In recent years, the demand for dental implants has surged, driven by their
high success rates and esthetic advantages. However, accurate prediction of
missing teeth for precise digital implant planning remains a challenge due to
the intricate nature of dental structures and the variability in tooth loss
patterns. This study presents a novel framework for accurate prediction of
missing teeth in different patterns, facilitating digital implant planning. The
proposed framework begins by estimating point-to-point correspondence among a
dataset of dental mesh models reconstructed from CBCT images of healthy
subjects. Subsequently, tooth dictionaries are constructed for each tooth type,
encoding their position and shape information based on the established
point-to-point correspondence. To predict missing teeth in a given dental mesh
model, sparse coefficients are learned by sparsely representing adjacent teeth
of the missing teeth using the corresponding tooth dictionaries. These
coefficients are then applied to the dictionaries of the missing teeth to
generate accurate predictions of their positions and shapes. The evaluation
results on real subjects shows that our proposed framework achieves an average
prediction error of 1.04mm for predictions of single missing tooth and an
average prediction error of 1.33mm for the prediction of 14 missing teeth,
which demonstrates its capability of accurately predicting missing teeth in
various patterns. By accurately predicting missing teeth, dental professionals
can improve the planning and placement of dental implants, leading to better
esthetic and functional outcomes for patients undergoing dental implant
procedures.",2023-07-16T05:52:37Z,http://arxiv.org/abs/2307.07953v1,tooth loss
"Periodontal Bone Loss Analysis via Keypoint Detection With Heuristic
  Post-Processing","Ryan Banks, Vishal Thengane, María Eugenia Guerrero, Nelly Maria García-Madueño, Yunpeng Li, Hongying Tang, Akhilanand Chaurasia","Calculating percentage bone loss is a critical test for periodontal disease
staging but is sometimes imprecise and time consuming when manually calculated.
This study evaluates the application of a deep learning keypoint and object
detection model, YOLOv8-pose, for the automatic identification of localised
periodontal bone loss landmarks, conditions and staging. YOLOv8-pose was
fine-tuned on 193 annotated periapical radiographs. We propose a keypoint
detection metric, Percentage of Relative Correct Keypoints (PRCK), which
normalises the metric to the average tooth size of teeth in the image. We
propose a heuristic post-processing module that adjusts certain keypoint
predictions to align with the edge of the related tooth, using a supporting
instance segmentation model trained on an open source auxiliary dataset. The
model can sufficiently detect bone loss keypoints, tooth boxes, and alveolar
ridge resorption, but has insufficient performance at detecting detached
periodontal ligament and furcation involvement. The model with post-processing
demonstrated a PRCK 0.25 of 0.726 and PRCK 0.05 of 0.401 for keypoint
detection, mAP 0.5 of 0.715 for tooth object detection, mesial dice score of
0.593 for periodontal staging, and dice score of 0.280 for furcation
involvement. Our annotation methodology provides a stage agnostic approach to
periodontal disease detection, by ensuring most keypoints are present for each
tooth in the image, allowing small imbalanced datasets. Our PRCK metric allows
accurate evaluation of keypoints in dental domains. Our post-processing module
adjusts predicted keypoints correctly but is dependent on a minimum quality of
prediction by the pose detection and segmentation models. Code: https://
anonymous.4open.science/r/Bone-Loss-Keypoint-Detection-Code. Dataset:
https://bit.ly/4hJ3aE7.",2025-03-05T00:34:29Z,http://arxiv.org/abs/2503.13477v1,tooth loss
BAREB: A Bayesian repulsive biclustering model for periodontal data,"Yuliang Li, Dipankar Bandyopadhyay, Fangzheng Xie, Yanxun Xu","Preventing periodontal diseases (PD) and maintaining the structure and
function of teeth are important goals for personal oral care. To understand the
heterogeneity in patients with diverse PD patterns, we develop BAREB, a
Bayesian repulsive biclustering method that can simultaneously cluster the PD
patients and their tooth sites after taking the patient- and site- level
covariates into consideration. BAREB uses the determinantal point process (DPP)
prior to induce diversity among different biclusters to facilitate parsimony
and interpretability. Since PD progression is hypothesized to be
spatially-referenced, BAREB factors in the spatial dependence among tooth
sites. In addition, since PD is the leading cause for tooth loss, the missing
data mechanism is non-ignorable. Such nonrandom missingness is incorporated
into BAREB. For the posterior inference, we design an efficient reversible jump
Markov chain Monte Carlo sampler. Simulation studies show that BAREB is able to
accurately estimate the biclusters, and compares favorably to alternatives. For
real world application, we apply BAREB to a dataset from a clinical PD study,
and obtain desirable and interpretable results. A major contribution of this
paper is the Rcpp implementation of BAREB, available at
https://github.com/YanxunXu/ BAREB.",2019-02-15T04:10:23Z,http://arxiv.org/abs/1902.05680v2,tooth loss
"Transformer-Based Tooth Alignment Prediction With Occlusion And
  Collision Constraints","ZhenXing Dong, JiaZhou Chen, YangHui Xu","The planning of digital orthodontic treatment requires providing tooth
alignment, which not only consumes a lot of time and labor to determine
manually but also relays clinical experiences heavily. In this work, we
proposed a lightweight tooth alignment neural network based on
Swin-transformer. We first re-organized 3D point clouds based on virtual arch
lines and converted them into order-sorted multi-channel textures, which
improves the accuracy and efficiency simultaneously. We then designed two new
occlusal loss functions that quantitatively evaluate the occlusal relationship
between the upper and lower jaws. They are important clinical constraints,
first introduced to the best of our knowledge, and lead to cutting-edge
prediction accuracy. To train our network, we collected a large digital
orthodontic dataset that has 591 clinical cases, including various complex
clinical cases. This dataset will benefit the community after its release since
there is no open dataset so far. Furthermore, we also proposed two new
orthodontic dataset augmentation methods considering tooth spatial distribution
and occlusion. We evaluated our method with this dataset and extensive
experiments, including comparisons with STAT methods and ablation studies, and
demonstrate the high prediction accuracy of our method.",2024-10-28T07:54:07Z,http://arxiv.org/abs/2410.20806v3,tooth loss
"ViSTooth: A Visualization Framework for Tooth Segmentation on Panoramic
  Radiograph","Shenji Zhu, Miaoxin Hu, Tianya Pan, Yue Hong, Bin Li, Zhiguang Zhou, Ting Xu","Tooth segmentation is a key step for computer aided diagnosis of dental
diseases. Numerous machine learning models have been employed for tooth
segmentation on dental panoramic radiograph. However, it is a difficult task to
achieve accurate tooth segmentation due to complex tooth shapes, diverse tooth
categories and incomplete sample set for machine learning. In this paper, we
propose ViSTooth, a visualization framework for tooth segmentation on dental
panoramic radiograph. First, we employ Mask R-CNN to conduct preliminary tooth
segmentation, and a set of domain metrics are proposed to estimate the accuracy
of the segmented teeth, including tooth shape, tooth position and tooth angle.
Then, we represent the teeth with high-dimensional vectors and visualize their
distribution in a low-dimensional space, in which experts can easily observe
those teeth with specific metrics. Further, we expand the sample set with the
expert-specified teeth and train the tooth segmentation model iteratively.
Finally, we conduct case study and expert study to demonstrate the
effectiveness and usability of our ViSTooth, in aiding experts to implement
accurate tooth segmentation guided by expert knowledge.",2024-05-14T13:10:54Z,http://arxiv.org/abs/2405.08573v1,tooth loss
"Individual Tooth Detection and Identification from Dental Panoramic
  X-Ray Images via Point-wise Localization and Distance Regularization","Minyoung Chung, Jusang Lee, Sanguk Park, Minkyung Lee, Chae Eun Lee, Jeongjin Lee, Yeong-Gil Shin","Dental panoramic X-ray imaging is a popular diagnostic method owing to its
very small dose of radiation. For an automated computer-aided diagnosis system
in dental clinics, automatic detection and identification of individual teeth
from panoramic X-ray images are critical prerequisites. In this study, we
propose a point-wise tooth localization neural network by introducing a spatial
distance regularization loss. The proposed network initially performs center
point regression for all the anatomical teeth (i.e., 32 points), which
automatically identifies each tooth. A novel distance regularization penalty is
employed on the 32 points by considering $L_2$ regularization loss of Laplacian
on spatial distances. Subsequently, teeth boxes are individually localized
using a cascaded neural network on a patch basis. A multitask offset training
is employed on the final output to improve the localization accuracy. Our
method successfully localizes not only the existing teeth but also missing
teeth; consequently, highly accurate detection and identification are achieved.
The experimental results demonstrate that the proposed algorithm outperforms
state-of-the-art approaches by increasing the average precision of teeth
detection by 15.71% compared to the best performing method. The accuracy of
identification achieved a precision of 0.997 and recall value of 0.972.
Moreover, the proposed network does not require any additional identification
algorithm owing to the preceding regression of the fixed 32 points regardless
of the existence of the teeth.",2020-04-12T04:14:14Z,http://arxiv.org/abs/2004.05543v1,tooth loss
"ImplantFormer: Vision Transformer based Implant Position Regression
  Using Dental CBCT Data","Xinquan Yang, Xuguang Li, Xuechen Li, Peixi Wu, Linlin Shen, Yongqiang Deng","Implant prosthesis is the most appropriate treatment for dentition defect or
dentition loss, which usually involves a surgical guide design process to
decide the implant position. However, such design heavily relies on the
subjective experiences of dentists. In this paper, a transformer-based Implant
Position Regression Network, ImplantFormer, is proposed to automatically
predict the implant position based on the oral CBCT data. We creatively propose
to predict the implant position using the 2D axial view of the tooth crown area
and fit a centerline of the implant to obtain the actual implant position at
the tooth root. Convolutional stem and decoder are designed to coarsely extract
image features before the operation of patch embedding and integrate
multi-level feature maps for robust prediction, respectively. As both
long-range relationship and local features are involved, our approach can
better represent global information and achieves better location performance.
Extensive experiments on a dental implant dataset through five-fold
cross-validation demonstrated that the proposed ImplantFormer achieves superior
performance than existing methods.",2022-10-29T02:31:27Z,http://arxiv.org/abs/2210.16467v3,tooth loss
Synchronized First-Passages in a Double-Well System,"Mangal C. Mahato, A. M. Jayannavar","We perform Langevin dynamic numerical simulation on a double-well potential
system subjected to an asymmetric saw-tooth type external time varying field
and white noise forces. The hysteresis loss calculated from the first-passage
time distribution obtained shows asymmetric behaviour with respect to the
asymmetry in the field sweep. The hysteresis loss, in our model, being a
measure of the synchronized passages from one well to the other, indicates
asymmetric ""correlated"" passages in the two opposing directions when driven by
a temporally asymmetric external field in the presence of white noise
(fluctuating) forces. The implication of our results on the phenomena of
predominantly unidirectional motion of a Brownian particle in a symmetric
periodic (nonratchet-like) potential is discussed.",1995-09-11T17:29:36Z,http://arxiv.org/abs/cond-mat/9509058v1,tooth loss
Dynamics of a Gear System with Faults in Meshing Stiffness,"Grzegorz Litak, Michael I. Friswell","Gear box dynamics is characterised by a periodically changing stiffness. In
real gear systems, a backlash also exists that can lead to a loss in contact
between the teeth. Due to this loss of contact the gear has piecewise linear
stiffness characteristics, and the gears can vibrate regularly and chaotically.
In this paper we examine the effect of tooth shape imperfections and defects.
Using standard methods for nonlinear systems we examine the dynamics of gear
systems with various faults in meshing stiffness.",2004-05-23T05:46:25Z,http://arxiv.org/abs/nlin/0405053v1,tooth loss
Dense Representative Tooth Landmark/axis Detection Network on 3D Model,"Guangshun Wei, Zhiming Cui, Jie Zhu, Lei Yang, Yuanfeng Zhou, Pradeep Singh, Min Gu, Wenping Wang","Artificial intelligence (AI) technology is increasingly used for digital
orthodontics, but one of the challenges is to automatically and accurately
detect tooth landmarks and axes. This is partly because of sophisticated
geometric definitions of them, and partly due to large variations among
individual tooth and across different types of tooth. As such, we propose a
deep learning approach with a labeled dataset by professional dentists to the
tooth landmark/axis detection on tooth model that are crucial for orthodontic
treatments. Our method can extract not only tooth landmarks in the form of
point (e.g. cusps), but also axes that measure the tooth angulation and
inclination. The proposed network takes as input a 3D tooth model and predicts
various types of the tooth landmarks and axes. Specifically, we encode the
landmarks and axes as dense fields defined on the surface of the tooth model.
This design choice and a set of added components make the proposed network more
suitable for extracting sparse landmarks from a given 3D tooth model. Extensive
evaluation of the proposed method was conducted on a set of dental models
prepared by experienced dentists. Results show that our method can produce
tooth landmarks with high accuracy. Our method was examined and justified via
comparison with the state-of-the-art methods as well as the ablation studies.",2021-11-08T00:42:22Z,http://arxiv.org/abs/2111.04212v2,tooth loss
DArch: Dental Arch Prior-assisted 3D Tooth Instance Segmentation,"Liangdong Qiu, Chongjie Ye, Pei Chen, Yunbi Liu, Xiaoguang Han, Shuguang Cui","Automatic tooth instance segmentation on 3D dental models is a fundamental
task for computer-aided orthodontic treatments. Existing learning-based methods
rely heavily on expensive point-wise annotations. To alleviate this problem, we
are the first to explore a low-cost annotation way for 3D tooth instance
segmentation, i.e., labeling all tooth centroids and only a few teeth for each
dental model. Regarding the challenge when only weak annotation is provided, we
present a dental arch prior-assisted 3D tooth segmentation method, namely
DArch. Our DArch consists of two stages, including tooth centroid detection and
tooth instance segmentation. Accurately detecting the tooth centroids can help
locate the individual tooth, thus benefiting the segmentation. Thus, our DArch
proposes to leverage the dental arch prior to assist the detection.
Specifically, we firstly propose a coarse-to-fine method to estimate the dental
arch, in which the dental arch is initially generated by Bezier curve
regression, and then a graph-based convolutional network (GCN) is trained to
refine it. With the estimated dental arch, we then propose a novel Arch-aware
Point Sampling (APS) method to assist the tooth centroid proposal generation.
Meantime, a segmentor is independently trained using a patch-based training
strategy, aiming to segment a tooth instance from a 3D patch centered at the
tooth centroid. Experimental results on $4,773$ dental models have shown our
DArch can accurately segment each tooth of a dental model, and its performance
is superior to the state-of-the-art methods.",2022-04-25T18:30:01Z,http://arxiv.org/abs/2204.11911v1,tooth loss
