title,authors,summary,published,link,keyword_used
Knot Theory and the Problem of Classification for Plastic State,Trinh Van Khoa,"In this paper we constructed new model of plastic deformation. The knot
theory was used to classify the plastic state.",1999-07-20T09:04:52Z,http://arxiv.org/abs/cond-mat/9907290v1,nha khoa
Joint Hölder continuity of parabolic Anderson model,"Yaozhong Hu, Khoa Lê","We show that the random field solution to the parabolic Anderson equation
$(\partial_t-\frac12 \Delta)u=u\diamond \dot{W}$ is jointly H\""older continuous
in space and time.",2018-09-26T16:08:26Z,http://arxiv.org/abs/1809.10096v1,nha khoa
"Comment on ""Role of Initial Entanglement and Non-Gaussianity in the
  Docoherence of Photon-Number Entangled States Evolving in a Noisy Channel""","Jaehak Lee, M. S. Kim, Hyunchul Nha","A discussion on the robustness of continuous-variable entangled states under
noisy environment is briefly given in direct relation to Phys. Rev. Lett. 105,
100503 (2010).",2011-12-13T06:16:47Z,http://arxiv.org/abs/1112.2804v1,nha khoa
Lyman alpha absorption lines from mini pancakes,Biman B. Nath,"[Abridged abstract:] Recent numerical simulations show that many $\lyal$
absorption lines of column densities $\nha \la 10^{15}$ cm$^{-2}$ are produced
in transient, mini pancakes. Such pancakes are modeled here, approximating the
initial perturbation leading to the formation of the pancake as a single
sinusoidal wave. The density and temperature profiles of the gas in the pancake
are determined for $z_c \sim 3$, where $z_c$ is the collapse redshift. The
$\lyal$ absorption line profiles for a line of sight through the pancake are
then calculated. The absorption lines in general have wings signifying bulk
motions in the gas. It is shown that the deviation from a single Voigt profile
is large for small H I column density lines, in which the effect of bulk
motions is large. For lines with $\nha > 10^{13}$ cm$^{-2}$, high temperature
tend to wash out the signatures of bulk motion. The analytical modeling of mini
pancakes associated with $\lyal$ forest lines --- with $10^{13} \la \nha \la
10^{15}$ cm$^{-2}$---gives the corresponding mass scales. It is shown here
that, for typical values of cosmological parameters, absorption lines with
$\nha \sim 10^{14}$ cm$^{-2}$ correspond to structures with baryonic mass of
$M_b \sim 10^{10}$ M$_{\odot}$ with an overdensity of $\sim 10$ at $z \sim 3$.
The value of $\nha$ can change by a factor $\sim 3$ in the course of evolution
of the pancake in time. It is also shown that there is an upper limit to $\nha$
from a pancake due to the slow recombination rate and the importance of
collisional ionization at high temperatures. Mini pancakes do not give rise to
$\lyal$ lines with $\nha \ga 10^{14.5}$ cm$^{-2}$, for $\j21=1$ and
$\Omega_{IGM} \sim 0.03$.",1997-01-10T22:27:01Z,http://arxiv.org/abs/astro-ph/9701054v1,nha khoa
"Comparison of hydroxyapatite and honeycomb micro-structure in bone
  tissue engineering using electrospun beads-on-string fibers","Nicolas Rivoallan, Marc Mueller, Timothée Baudequin, Pascale Vigneron, Anne Hébraud, Rachid Jellali, Quentin Dermigny, Anne Le Goff, Guy Schlatter, Birgit Glasmacher, Cécile Legallais","Thick honeycomb-like electrospun scaffold with nanoparticles of
hydroxyapatite (nHA) recently demonstrated its potential to promote
proliferation and differentiation of a murine embryonic cell line (C3H10T1/2)
to osteoblasts. In order to distinguish the respective effects of the structure
and the composition on cell differentiation, beads-on-string fibers were used
to manufacture thick honeycomb-like scaffolds without nHA. Mechanical and
biological impacts of those beads-on string fibers were evaluated. Uniaxial
tensile test showed that beads-on-string fibers decreased the Young Modulus and
maximal stress but kept them appropriate for tissue engineering. C3H10T1/2 were
seeded and cultured for 6 days on the scaffolds without any growth factors.
Viability assays revealed the biocompatibility of the beads-on-string
scaffolds, with adequate cells-materials interactions observed by confocal
microscopy. Alkaline phosphatase staining was performed at day 6 in order to
compare the early differentiation of cells to bone fate. The measure of stained
area and intensity confirmed the beneficial effect of both honeycomb structure
and nHA, independently. Finally, we showed that honeycomb-like electrospun
scaffolds could be relevant candidates for promoting bone fate to cells in the
absence of nHA. It offers an easier and faster manufacture process, in
particular in bone-interface tissue engineering, permitting to avoid the
dispersion of nHA and their interaction with the other cells.",2024-10-18T07:17:36Z,http://arxiv.org/abs/2410.14226v1,nha khoa
"Deformation of environment having string structure in view of the
  topological characteristics",Trinh van Khoa,"In this paper the new model of plastic deformation is constructed.
  For classification of plastic statuses the theory of knot is used.",2003-04-13T13:52:12Z,http://arxiv.org/abs/cond-mat/0304305v1,nha khoa
"On the complement of a positive normal crossing divisor with no triple
  intersection in a projective variety",Khoa Lu Nguyen,"We describe how the Weinstein structure of the complement is modified when a
positive divisor degenerates to a normal crossing divisor with no triple
intersection.",2015-12-28T21:48:46Z,http://arxiv.org/abs/1512.08537v1,nha khoa
Stochastic sewing in Banach space,Khoa Lê,"A stochastic sewing lemma which is applicable for processes taking values in
Banach spaces is introduced. Applications to additive functionals of fractional
Brownian motion of distributional type are discussed.",2021-05-19T19:13:02Z,http://arxiv.org/abs/2105.09364v2,nha khoa
Noetherianity of Diagram Algebras,"Anthony Muljat, Khoa Ta","In this short paper, we establish the local Noetherian property for the
linear categories of Brauer, partition algebras, and other related categories
of diagram algebras with no restrictions on their various parameters.",2024-09-17T04:46:57Z,http://arxiv.org/abs/2409.10885v1,nha khoa
Cavity-damping-induced transitions in a driven atom-cavity system,"Hyunchul Nha, Kyungwon An","We investigate the fluorescence spectrum of a two-level atom in a cavity when
the atom is driven by a classical field. We show that forbidden dipole
transitions in the Jaynes-Cummings Ladder structure are induced in the presence
of the cavity damping, which deteriorates the degree of otherwise perfect
destructive interference among the transition channels. With the larger cavity
decay, these transitions are more enhanced.",2001-01-08T03:10:50Z,http://arxiv.org/abs/quant-ph/0101036v1,nha khoa
